Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
48b9f8a401e1cbff90e61ff1c3b402e9d51f3eaf1503254e29a0189b91b7529f,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.210280,51.989614,On or near CHESAPEAKE CLOSE,E01029873,Babergh 011B,Investigation complete; no suspect identified
eddccb7a18d47036879306db6702dffbefcbd95ae6a619608e0bca0b383e15e7,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.675222,52.328488,On or near SPINNERS LANE,E01030282,Waveney 014A,Investigation complete; no suspect identified
75b6eeef011aaa3bd5b86edcf693691183ddfde97755b0400715e5c66fde421e,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.631936,52.445483,On or near ROBERT LINGE CRESCENT,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
7f066a1b88f6cff93b2a847cb54da6e3a9c62ff1ee95b0651b2bce93d1031ac3,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.954952,52.042925,On or near Parking Area,E01029896,Babergh 004E,Investigation complete; no suspect identified
d8fc7aef9ea2cdfc65c4625ef28e1c3a13636330aa39039315b94f962be174fd,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.108121,52.037632,On or near SYCAMORE CLOSE,E01029909,Babergh 005E,Investigation complete; no suspect identified
00571cf20323c20189a97502b40249b89514a4849dba29808d0c6e7b5f1b7422,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.198702,52.061324,On or near WOODBRIDGE ROAD EAST,E01029963,Ipswich 009A,Investigation complete; no suspect identified
aa388a36229d3d062c79621302623109e6d74efa5ca1f34bb782a8721ab07496,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.195081,52.058032,On or near LATTICE AVENUE,E01030004,Ipswich 008C,Investigation complete; no suspect identified
f8e5f1e3666a1be9d69aae2d7253aacc2ada68ae02e5a2e99501f01e347124a3,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.514923,52.230411,On or near LOWES HILL,E01030208,Suffolk Coastal 003B,Investigation complete; no suspect identified
27737486addfafa9a2645fe259171177f498ff872673337638a4a83dc18b7ff1,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.707231,52.263703,On or near WORDSWORTH ROAD,E01030130,St Edmundsbury 003A,Investigation complete; no suspect identified
310e762ed4d58f550f7fb6f8700dd91699b4510aef14d43075bc2543a1c8cb23,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.352141,51.963784,On or near Supermarket,E01030165,Suffolk Coastal 015C,Investigation complete; no suspect identified
472cfd9e12ddd539f3f41052f17a1a3d55fa28533ab220e1df6d820687297db1,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.135012,52.058441,On or near YARMOUTH ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
8f3a58178d63e26b7c4267ee805d0f9603f32658e43db3db3fa829faf3b4f058,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.362962,51.971399,On or near PRESTWICK AVENUE,E01033450,Suffolk Coastal 013G,Investigation complete; no suspect identified
