Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
62deac89e83282641f58b53eb1322c393527fb44f991c4b59c9bbf2bb67987bb,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.288407,53.721276,On or near CRAWSHAW GRANGE,E01025361,Rossendale 001B,Investigation complete; no suspect identified
9bf04041a7c0e0c1e9d980afd6a9e262dfc448a92b08180b1fd0b3133da8ed17,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.338032,53.688555,On or near PARK STREET,E01025378,Rossendale 007B,Investigation complete; no suspect identified
b92dd61d2cbed559dc307b33131f7fd3d14717128421ca318493765be275638a,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.341056,53.695530,On or near MESBURY MEWS,E01025378,Rossendale 007B,Investigation complete; no suspect identified
2e1bfd62019e9b6a83d4037ab5763751e712f5810e58faee62103ca0a582bfa1,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321414,53.705552,On or near EAST GATE,E01025398,Rossendale 002G,Investigation complete; no suspect identified
c8deb8e6901beac611f16caaa1d2f43b2798589891862121cc97318a62109f67,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.360811,53.705054,On or near Park/Open Space,E01025397,Rossendale 002F,Investigation complete; no suspect identified
a723db065a7d6a7638305962c86cbba36dacc092a09ee96e8599575e30874073,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.333081,53.690600,On or near FLAX CLOSE,E01025380,Rossendale 007D,Investigation complete; no suspect identified
d5e1a52ac24091833f6906be4d6102c8abb24729d96f9af78aa537604e0ff928,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.333778,53.688711,On or near MALVERN WAY,E01025380,Rossendale 007D,Investigation complete; no suspect identified
34a85b1232b593f489bce37344bf2791bba38fe529a240aa78de665342207ce7,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.360811,53.705054,On or near Park/Open Space,E01025397,Rossendale 002F,Investigation complete; no suspect identified
7f701088bddbad1833c6ef0214239486fb54e31c0cd87cc0b19b9beb31552cd1,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.360811,53.705054,On or near Park/Open Space,E01025397,Rossendale 002F,Investigation complete; no suspect identified
f89418042014fa64e04d0f8067e5872111b5b290922771967a72919f64606cf4,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.360811,53.705054,On or near Park/Open Space,E01025397,Rossendale 002F,Investigation complete; no suspect identified
b0d2ac26470c14e82e253cbea11e144d2b9b864a814680a4e6a70cb52b50c66d,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.341056,53.695530,On or near MESBURY MEWS,E01025378,Rossendale 007B,Investigation complete; no suspect identified
98fbc59e2f8ef5018faa07a734d0d567ee3db81aaec829ed99c474aff6290dd8,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.313186,53.690986,On or near THIRLMERE AVENUE,E01025365,Rossendale 008C,Investigation complete; no suspect identified
5a8c6a2e73c86d4597dd3200827220f6b76f807a740c4826900eedcdb7106d66,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.318402,53.691836,On or near BROADWAY,E01025365,Rossendale 008C,Investigation complete; no suspect identified
391180036231aa6af0af8c33b758f6520c2c0308af72de36d237f6253e925825,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.325692,53.698467,On or near CAMBRIDGE STREET,E01025363,Rossendale 002A,Investigation complete; no suspect identified
0311d419e457ebb8c82cad585283b2c2dc1ad6783c768d1039ca6980cf2577ff,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.323160,53.704047,On or near PARK STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
9135be0d0cf2ed890d69562952ebfa796c2ed5ad1ffa317f6b18253c74fed325,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.322050,53.703501,On or near ROCK STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
773dc16c8a0f1022d1d94c6349b5ddad90c975118f71c2f96dc9f213c9eb6aaf,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321838,53.695628,On or near CAMBRIAN WAY,E01025364,Rossendale 002B,Investigation complete; no suspect identified
3bad7412f068f19e975dadf9c265b3507fb42c16608c0d28f2a2654a01402784,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
d490cc3ea1ac7d76cbb72a1fea5185b831383e76efd0b41f502a179d2cb23d96,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
37c4e3316aba694c8a23528520f2f871d0493256543ac7b52ffe2efbbea27328,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
742792503f001ed9022db70cb32b8701c306d3e05567a9e07d863f2f7b14b634,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
