Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2faf08f07ddd1d02d919c7188ff26f9e7d469af5650199c9ec7bba3dc4856de2,2013-09,Northamptonshire Police,Northamptonshire Police,-0.727297,52.299599,On or near SWINBURNE ROAD,E01027341,Wellingborough 005C,Investigation complete; no suspect identified
1729f154e26f05b535f4836fbaf6c4abc0b4e52e26bb3124020b4fbf60537d99,2013-09,Northamptonshire Police,Northamptonshire Police,-0.727894,52.397443,On or near MARKET PLACE,E01027110,Kettering 007B,Investigation complete; no suspect identified
982e40c9ad516edfb0ec1ac0f686323fe6ce41769923ad64416f337fe27f34fb,2013-09,Northamptonshire Police,Northamptonshire Police,-0.813482,52.266736,On or near GREATMEADOW,E01027175,Northampton 005B,Investigation complete; no suspect identified
1b5d4abb6669e069712bb24c97e16fdddf949cdf7806a6560796c5f9475100c1,2013-09,Northamptonshire Police,Northamptonshire Police,-0.835005,52.243395,On or near FERRIS ROW,E01027140,Northampton 011A,Investigation complete; no suspect identified
a122bfeef8f2117b2dd7946964d94b732c7c38ed1cabd7adeb255ca9fe0200b9,2013-09,Northamptonshire Police,Northamptonshire Police,-1.164180,52.258905,On or near PRIMROSE HILL,E01026992,Daventry 007D,Investigation complete; no suspect identified
8bb745deb515d833503b838e56b13b8522bfdbc97b0cb63d2b1ed498f1048a74,2013-09,Northamptonshire Police,Northamptonshire Police,-1.079445,52.228121,On or near BUSWELL CLOSE,E01027024,Daventry 009C,Investigation complete; no suspect identified
5b0302c0758a6f7cb4192d0722c612ef24e054d9397759be7bcf44d3ef8e7908,2013-09,Northamptonshire Police,Northamptonshire Police,-0.917220,52.227518,On or near THORN HILL,E01027235,Northampton 026C,Investigation complete; no suspect identified
6dcf52575b0d21405cd3b2a9b2e7c000edefd676b98b07b09b63abb24bc9d7a8,2013-09,Northamptonshire Police,Northamptonshire Police,-0.883768,52.241438,On or near PORTLAND PLACE,E01027228,Northampton 023D,Investigation complete; no suspect identified
9fa7c2329e42eec6e65b938d28b094a94314d73b5430dbb074438c59b2e5fa70,2013-09,Northamptonshire Police,Northamptonshire Police,-0.804226,52.440099,On or near WILLOW CLOSE,E01027109,Kettering 002F,Investigation complete; no suspect identified
ef5f2cf70da1433d96c8a54db341a7dd19d84ec4900bdade99d34f34eb5d05c0,2013-09,Northamptonshire Police,Northamptonshire Police,-0.683770,52.497727,On or near STEPHENSON WAY,E01026958,Corby 003B,Investigation complete; no suspect identified
