Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e6de6dff9d4216c34f7df361df1e8d3629d342b1e519d92ce28540c2404bc934,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.282388,52.610560,On or near BENEDICT SQUARE,E01015686,Peterborough 006E,Investigation complete; no suspect identified
9825b324213c75a7ddca57e725711115aa499518ee833a94a86c9ac9232bae77,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.248799,52.584363,On or near SUMMERFIELD ROAD,E01015601,Peterborough 012A,Investigation complete; no suspect identified
04ca6ab0832a50a98d96cbf948996b7edff713a2654c0e7f2927bef3789ed84a,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.060461,52.078165,On or near POPLAR FARM CLOSE,E01018228,South Cambridgeshire 019C,Investigation complete; no suspect identified
3a5566e7c909265b83908b3fdd5fdf90f2a3030271208f0da52207deb9a318e1,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.288976,52.580617,On or near STAMPER STREET,E01015598,Peterborough 015A,Investigation complete; no suspect identified
9d1cbf35f61a5cef047c281c7171159cc3bd84c7e2f3582a3ad8df580cd0a238,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.064832,52.303701,On or near BLACK PIT DROVE,E01018307,South Cambridgeshire 001D,Investigation complete; no suspect identified
34bd19ed76f1a6df53535637da837ed243787848ce4a1d337dd34e24a8ea78b9,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.005798,52.300356,On or near CHANTRY CLOSE,E01018284,South Cambridgeshire 003C,Investigation complete; no suspect identified
7ec578c65a8f9c52176b7cf969e48cb942cc218724a4de63a24b56e4e285df4c,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.092468,52.651006,On or near WALNUT CLOSE,E01018092,Fenland 004F,Investigation complete; no suspect identified
f1cb7a9f71dc6cb820bc97400f2bf92674e06713c0206ccee69ae7db9e15b659,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.069063,52.556343,On or near PEAS HILL ROAD,E01018086,Fenland 009B,Investigation complete; no suspect identified
03d3eed9182c7a635c3b119fe9981741222b9d39b8fe911ea92e4dab80c0a906,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.229650,52.540121,On or near PETERBOROUGH ROAD,E01018212,Huntingdonshire 001A,Investigation complete; no suspect identified
fb99fabe2b6a7fc3cdf228bbeacd5f35421112c3616229fc618a4d3cc581ffe6,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136597,52.115392,On or near MIDDLEMOOR ROAD,E01018303,South Cambridgeshire 017F,Investigation complete; no suspect identified
06b373bdc1e291e11c8b9e305fb3ffe8057234e9174df1ec586c3b2ed150f46b,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.160579,52.266830,On or near BECHE WAY,E01018300,South Cambridgeshire 004C,Investigation complete; no suspect identified
0b0d62a66bdab4282697d3746b47ae92f9d36070bf861c1160b188b54a6130a9,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.097626,52.148931,On or near CHURCH ROAD,E01018254,South Cambridgeshire 014C,Investigation complete; no suspect identified
