Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
871d74449c4cab0e3faf05a07460765ffdd7876a3c77ea4d0ecf8effa51838ce,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.289781,52.635640,On or near TALBOT SQUARE,E01026823,Norwich 007B,Investigation complete; no suspect identified
6c8fc6aafc59f46904b0d6e8f2c067817f18d42849e2385486df6ca199b0ec4e,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.828138,52.570473,On or near MEMORIAL WAY,E01026488,Breckland 009C,Investigation complete; no suspect identified
d960502d7442d5175dfa390ec0ce7fb3934ff0d02b71a5a6ac4a05fec441880e,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.934640,52.660336,On or near HEIDI CLOSE,E01026434,Breckland 005F,Investigation complete; no suspect identified
24cab406052b5bd033bfe689c82dc02cc9d28cdacb4413070cf56c305d4e219e,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.706951,52.573873,On or near ECCLESTONE CLOSE,E01026586,Great Yarmouth 013B,Investigation complete; no suspect identified
d9ce1020a6c8f58090396f8f3fe23df18538d533828fb96438e742cd2d31bf44,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.305337,52.632571,On or near BISHOPGATE,E01033438,Norwich 014A,Investigation complete; no suspect identified
622021c09ff68d08efbdf4c87e32539aa8926e4bab739fefdd690b4f7b857ba7,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.356861,52.669752,On or near MILL ROAD,E01026726,King's Lynn and West Norfolk 015D,Investigation complete; no suspect identified
f1515bf676aff7973c5cd3f4e4663eeffb79c0e6ff90dee679f4f45251b5e879,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.251316,52.626072,On or near MORELLO CLOSE,E01026858,Norwich 010A,Investigation complete; no suspect identified
aba9f34dc4737ad9f31e6ea482d6b39594c3920f15793274e4144c51d54f3180,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.296870,52.642431,On or near MAGDALEN ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
f8b33aa180db23f9ecab26954f8f5aa9c531d2833ea4d1dc6e358f0d9a966af5,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.403075,52.754433,On or near Petrol Station,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
b17fdaa47eed2b044dca24194924822d6fdcc67f81a693f8b817f4e0e33c3ea6,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.407774,52.767628,On or near CAPGRAVE AVENUE,E01026690,King's Lynn and West Norfolk 007D,Investigation complete; no suspect identified
d77c888b18d1a1856d95ccd5cf4a405b5fe8e50d965547d7113e5289081d0f9e,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.386978,52.716478,On or near THE STREET,E01026580,Broadland 008E,Investigation complete; no suspect identified
11f23d9f9c8d2845c50002eb7f30abeb839f7b14d32afca13a0d48ddb06d3cb3,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.733412,52.409889,On or near ST MARTIN'S WAY,E01026476,Breckland 017C,Investigation complete; no suspect identified
df32813879c7087450c8dd802f083a7e53980cea231f116ed29b1296f0757ff2,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.731170,52.418349,On or near DURHAM WAY,E01026467,Breckland 015C,Investigation complete; no suspect identified
c62b5565844afaae493fcc63145170922dff7101fa4524a4ba2a2aef0fabc24c,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.263296,52.638100,On or near SYCAMORE CRESCENT,E01026866,Norwich 006D,Investigation complete; no suspect identified
914c0696f5c0c0280927b7fbeb597a52805928744dcdb5ad5c41e1c96e28b082,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.413054,52.738441,On or near Supermarket,E01026704,King's Lynn and West Norfolk 011D,Investigation complete; no suspect identified
992cdfe0c060b235a574b6963ac7a1cbb588354ea45c708503b96271be6c25b8,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.183711,52.457951,On or near BROADGATE LANE,E01026886,South Norfolk 014C,Investigation complete; no suspect identified
f90f2a7d1322efa6f020925f2a85956cb483c3928aa69abb11194b6130975ba0,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.299134,52.623607,On or near HORNS LANE,E01026822,Norwich 007A,Investigation complete; no suspect identified
3eb1bf627f4e1a7ba0e16f53051d7766d7b67298932df1c0fc265f3c23a95d50,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.184028,52.662913,On or near MAGNOLIA WAY,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
