Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
92e55e9b3e70862dee779d83cefc1fcbaf40b9630d6fdff3f9ac132ba8a86f4a,2015-06,Surrey Police,Surrey Police,-0.410101,51.388110,On or near EGMONT ROAD,E01030356,Elmbridge 008C,Investigation complete; no suspect identified
85a70283d595e5478dca4bd33c93aee242441c7c65b4bca65ef5b34a54e01a1b,2015-06,Surrey Police,Surrey Police,-0.420106,51.385107,On or near Shopping Area,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
9cda8e7317db04c257453040ccaccf096f920f193ddd42a8d31cc01070fad9d3,2015-06,Surrey Police,Surrey Police,-0.420106,51.385107,On or near Shopping Area,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
8343f87a83749433ea83fa1e0d524df1e65bb25379bd21945cd1d40d8940f794,2015-06,Surrey Police,Surrey Police,-0.418748,51.385341,On or near HIGH STREET,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
b3eca33e41577de5c7ca28057660ad04931b91161683b2eac450d77813a8a81e,2015-06,Surrey Police,Surrey Police,-0.471661,51.355181,On or near Park/Open Space,E01030683,Runnymede 010C,Investigation complete; no suspect identified
ef6a48152d2f71db0fda86dbd0d2cc3bec6279561f47ee755436930e5f168eb9,2015-06,Surrey Police,Surrey Police,-0.461986,51.358049,On or near JOHN COBB ROAD,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
737d2790c2709f1c71dd5ec5f233f2b78e9c9a1c680b54a6f9d16ebff3fe9c62,2015-06,Surrey Police,Surrey Police,-0.478449,51.344505,On or near OYSTER LANE,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
33fafff4954400e2dcd90ecb79a9abaa553710ee703bbef622318e07347e06a5,2015-06,Surrey Police,Surrey Police,-0.478449,51.344505,On or near OYSTER LANE,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
5970ef8bccb95603224f8bd0306af8f0413f1d2f1e696e89ca8170d67ff47f11,2015-06,Surrey Police,Surrey Police,-0.477594,51.346904,On or near AVRO WAY,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
b4fd46aa71db1d2b8906da354e8022007a011f732e24c3cb9e14c75f0686180a,2015-06,Surrey Police,Surrey Police,-0.453719,51.376212,On or near GRENSIDE ROAD,E01030373,Elmbridge 012C,Investigation complete; no suspect identified
aca7f63abc10978cde346dd36efccdef1fdb13ad03f3722ec236213ff58d56c0,2015-06,Surrey Police,Surrey Police,-0.434954,51.373679,On or near HADDON CLOSE,E01030338,Elmbridge 011A,Investigation complete; no suspect identified
de9c956b25c5a31b8c82e038bc71ab990580d24c8dc93e17f0557ee39f6f007a,2015-06,Surrey Police,Surrey Police,-0.438325,51.369606,On or near WOODLAND GROVE,E01030338,Elmbridge 011A,Investigation complete; no suspect identified
e6d886688a2c62ce533d35b6f50eb2d65b4ffc2d6e7db743a93ebe064419ef71,2015-06,Surrey Police,Surrey Police,-0.435595,51.373400,On or near DOVEHOUSE GREEN,E01030338,Elmbridge 011A,Investigation complete; no suspect identified
12a6e7d299c6e3e6e83f5fc2b9f649b6314474f3395139be592ab01343380374,2015-06,Surrey Police,Surrey Police,-0.444117,51.367408,On or near HIGH PINE CLOSE,E01030375,Elmbridge 012E,Investigation complete; no suspect identified
7e159a31308ad4c5b614b08c797b7fd7a7be771092570599e0aaf6afcf36cf22,2015-06,Surrey Police,Surrey Police,-0.440673,51.374502,On or near VALE COURT,E01030339,Elmbridge 011B,Investigation complete; no suspect identified
73e3c5e3f5f423bceeb6e5000be9f331310bf7b797840f45da916e4264748b58,2015-06,Surrey Police,Surrey Police,-0.434725,51.335296,On or near SEVEN HILLS ROAD (SOUTH),E01030318,Elmbridge 014F,Investigation complete; no suspect identified
b21b7e4085973997826c3ed4e2694838c216843f170c8bf4d2e4063ed548e1a1,2015-06,Surrey Police,Surrey Police,-0.456077,51.371028,On or near ST JAMES MEWS,E01030374,Elmbridge 012D,Investigation complete; no suspect identified
