Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0c9dbfd90bce64b1df2aad259c0986adb440c64b6ab0998167cc774bb42a2bf4,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.167149,52.320468,On or near RECTORY GARDENS,E01018131,Huntingdonshire 014A,Investigation complete; no suspect identified
8183288c60451191da54da764f8f6088b9e9185cc70c8f71cb6bd20539123390,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.130805,52.199078,On or near GRESHAM ROAD,E01018005,Cambridge 012D,Investigation complete; no suspect identified
9167642a185838e41a703ae43b8383023e2ee1806939213b39d2d6e24a944ea8,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.264636,52.520077,On or near FERNDALE,E01018216,Huntingdonshire 001E,Investigation complete; no suspect identified
8da88567795b607b63e72f01cf90b01d9109ae983a4fe07ec3c4218dbfa96768,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.013589,52.362986,On or near THE RHEES,E01018199,Huntingdonshire 006D,Investigation complete; no suspect identified
81907ffae746864bc31685eef85f93eb3ac012961fe0cbb82e58017d54fc158a,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.264636,52.520077,On or near FERNDALE,E01018216,Huntingdonshire 001E,Investigation complete; no suspect identified
fc187b2aeaf6e37a1b8c8c498de0153fa777242850a43c3011a0c90685890664,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.177859,52.331216,On or near NURSERY ROAD,E01018138,Huntingdonshire 012A,Investigation complete; no suspect identified
2150abc48bba246bc9ec8425e98a3fe6aeed2a5a99a9cab0d1d96f60736b0463,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.277019,52.553183,On or near THE VILLAGE,E01015638,Peterborough 022A,Investigation complete; no suspect identified
b1bfe294dc2749c0765f023c440eecf8236d454979dc944f33b91d98774f73e2,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.184296,52.186958,On or near SPEEDWELL CLOSE,E01018243,South Cambridgeshire 011B,Investigation complete; no suspect identified
1153305ae8bee4c4e950780c8defa124dc7068ca0d9a39aa92e6d05f14c333c0,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.267950,52.519775,On or near STEPHENSON CLOSE,E01018216,Huntingdonshire 001E,Investigation complete; no suspect identified
e87e596e66d15167e4b39657a16e47fb01e50b4a8089c8162d76aff0b81a7931,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.263754,52.558527,On or near WELBECK WAY,E01015650,Peterborough 022B,Investigation complete; no suspect identified
f7b97b6ea9861a449d86f9381cfb23ecf3f4ad8422c22a413c84a090649679ea,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.257232,52.385651,On or near B1090,E01018113,Huntingdonshire 010B,Investigation complete; no suspect identified
ad1c4571b6c5892960994cf8ea89297bcec26820910ad4a92a7ff29984506d63,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.199431,52.338875,On or near WASTWATER,E01018149,Huntingdonshire 012C,Investigation complete; no suspect identified
2285e3019ef96e69983fdd704eff93117d3e6608c51b35f4bec54b716a2f98f5,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.236401,52.592792,On or near Sports/Recreation Area,E01015651,Peterborough 012B,Investigation complete; no suspect identified
17ef9acf83852435f14e22e99a63b2f0ab63e0ae0b27a2452127f19e01e089ee,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.263624,52.228182,On or near Supermarket,E01018188,Huntingdonshire 019B,Investigation complete; no suspect identified
f8328ea0be7391743478d55b3efa1f81040b2f41a1f85c4df78b2f817105e28a,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.159793,52.661756,On or near PRINCE'S ROAD,E01033112,Fenland 003I,Investigation complete; no suspect identified
19d2f612491c408d207b924fe1ee8335098b11bac42f3aab9dc22e4451e9d0bf,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246558,52.595766,On or near ST PAULS ROAD,E01015651,Peterborough 012B,Investigation complete; no suspect identified
58e5ffd759e99e13104f93f82fa3090578930e9d2b0d627d5297c2d0f90e51a1,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.239573,52.568888,On or near EMBANKMENT ROAD,E01015611,Peterborough 013B,Investigation complete; no suspect identified
30496d8d3e01907e3e78e3b691e72e2649290fdf68a492d5078022aa76db3bf3,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.156508,52.191965,On or near ANCASTER WAY,E01017967,Cambridge 010C,Investigation complete; no suspect identified
c946b09ba44b7550f8e8c6fd8d78ae5ce477d466e91b2eb5fdb3cde98660391c,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240845,52.575820,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
f3399a32331fdaddcb67d2aa55324da41fbe79dfa207c900fd3f2675e10eb42d,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.252431,52.564654,On or near BREWSTER AVENUE,E01015622,Peterborough 016A,Investigation complete; no suspect identified
a48624f9ab09662956c5df310189ffdef46cb6daa87b412916728ad12a871088,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.206268,52.587008,On or near THE MAPLES,E01015614,Peterborough 013D,Investigation complete; no suspect identified
bd668f59f6048b9689406d2dbb94d4d736f797dd2ac2cd3b0336958285d5399a,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.218990,52.550301,On or near CENTRAL SQUARE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
6986e136a7e4ff69fb3bbb5f190d6a0f14105992a39f6eddc16f999b472bb912,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.252777,52.586768,On or near CLARENCE ROAD,E01015604,Peterborough 010B,Investigation complete; no suspect identified
3882ab7b5f395f28e245c657eb7d5675904d78c8c48cf5033099ac434a9f6a22,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.275582,52.590564,On or near BROOKFURLONG,E01015662,Peterborough 009C,Investigation complete; no suspect identified
640b2c82cac0c8f2bdb47dc95b50d3f0a6567615b7136e8e8af0f8b83b4a351a,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.259239,52.578295,On or near Supermarket,E01015692,Peterborough 016E,Investigation complete; no suspect identified
6d418014c79885f29c3a88f62423e88cc505faaa731bdc1b8258d16174dafd8d,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127260,52.711374,On or near COLVILE ROAD,E01018097,Fenland 001D,Investigation complete; no suspect identified
d9b6ccea377e7c3dd85ef75c264d5501ded1c6d3aa25aec667d54414f5403c05,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.249338,52.596769,On or near SHAKESPEARE AVENUE,E01015634,Peterborough 008E,Investigation complete; no suspect identified
efb6cde1dd88265d4949e808b8d11fbceb1e2ef4314bbdbbb24aaeb52926364a,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.182660,52.671048,On or near CHAPNALL ROAD,E01018103,Fenland 003F,Investigation complete; no suspect identified
18f3c571af366d5f139fbc76c6f23899822fc89925f6c685b89e53be8cf035f9,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240065,52.584971,On or near ALL SAINTS ROAD,E01015655,Peterborough 014E,Investigation complete; no suspect identified
92d16bf40ecb194ee26e1060a3b673e466dc1493f65a89869bc3c97c187e68d1,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119762,52.209042,On or near PARK STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
be0ed3b12c242dc98401fd75efec17b3df5f73906b580717c2604f97b03d2d31,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136952,52.229908,On or near Supermarket,E01017977,Cambridge 001C,Investigation complete; no suspect identified
ad35d4eca9390efa75e6a2b9ff6079125b036160f1553219b2162a01db6f29e5,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.247749,52.588474,On or near Bus/Coach Station,E01015652,Peterborough 012C,Investigation complete; no suspect identified
02fd27a71706b08bb3fac4f9b50674234e34baa62460855bf4dc1cf60cce1c97,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.218562,52.547750,On or near MINA CLOSE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
b86a1cf8a4963196ae13e59389768658bfb93391a8ea8bb3eb8498928d674713,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.236022,52.602227,On or near LAVENDER CRESCENT,E01015633,Peterborough 008D,Investigation complete; no suspect identified
104fdf643c1130aff2f0d3df6a6173e836d31162fb3001be4ab1ebc4dacac334,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246699,52.562996,On or near QUEENS WALK,E01015624,Peterborough 017C,Investigation complete; no suspect identified
c3bb60e17f8c2a301a2aaffa5e561ba45b60bc214844215da445933960896ba2,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.242201,52.575499,On or near Parking Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
cf911756e1b9a0b2ad0b0f4895e6eab7002e73bcef4ee39922e023eb4b80b0d9,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.254457,52.588690,On or near BOURGES BOULEVARD,E01015603,Peterborough 010A,Investigation complete; no suspect identified
