Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e92cbdfba6723176ad0e1a3628a57d147c940f649f502c607903822e162ae9b7,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.552633,51.756930,On or near Petrol Station,E01023362,Dacorum 009B,Investigation complete; no suspect identified
88636859c858a77d6f7672b437fcbb2545d747f9d56c4a6c90fc8a87f8c586a8,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.569772,51.761078,On or near PARK VIEW ROAD,E01023368,Dacorum 014D,Investigation complete; no suspect identified
aabfe273ea344239a8af1bb174904ec3e0ad8f23756611e5eee27c417e4928db,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.584417,51.764474,On or near EDLYN CLOSE,E01023369,Dacorum 012A,Investigation complete; no suspect identified
96333807fd20eb372985b7ed3c8f9a7617a47d10e91f59dff0548bf9d30b5c3b,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.530495,51.771177,On or near BRIAR CLOSE,E01023355,Dacorum 006A,Investigation complete; no suspect identified
6f4d97c73f62ce9d30e5c218ded9e112586200c43403c712cd7323466beeb709,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.582377,51.765762,On or near COOMBE GARDENS,E01023369,Dacorum 012A,Investigation complete; no suspect identified
219c9406c4e145efd3f834ce80308cdc5ccd30db4bc5ec02ca55e0f155fbde89,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.559190,51.810834,On or near Sports/Recreation Area,E01023356,Dacorum 006B,Investigation complete; no suspect identified
66407551675cbb3db5ab14f613d041c5e416cda411853ca4a1d30c99e4e1e3b9,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.576938,51.760850,On or near SHRUBLANDS AVENUE,E01023370,Dacorum 012B,Investigation complete; no suspect identified
710a90067874793fad98fc32d6dad49660b4a12c8eb282e9ff12400386da461b,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.563788,51.755601,On or near CURLEW CLOSE,E01023365,Dacorum 014A,Investigation complete; no suspect identified
0a5ba957bb3abe17aa695d8edeaa8b84ce7f76287ff51ccff8eac5539077171e,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.579302,51.754306,On or near TOWER CLOSE,E01023372,Dacorum 012D,Investigation complete; no suspect identified
954445c2098f52c1e5011a933c4e896ff5341f5efc1fffb5d730057aeebd702d,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.572426,51.760553,On or near HAMILTON ROAD,E01023368,Dacorum 014D,Investigation complete; no suspect identified
0a357993b17c62cba132c2394e24961a96c61fef64b8259052059799baa832c6,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.579760,51.809439,On or near B4506,E01017702,Aylesbury Vale 009F,Investigation complete; no suspect identified
f8a2184562b02316425f74af53aa438f995c993ff1e1cfbf644255f873ea4b57,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.549524,51.799683,On or near NETTLEDEN ROAD,E01023356,Dacorum 006B,Investigation complete; no suspect identified
393e4bb0bb81edca11e94b2c9fae834881964544d1b352e93e6d7df1a6a9b450,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.526944,51.768965,On or near THE GREEN,E01023355,Dacorum 006A,Investigation complete; no suspect identified
b5fea6742b26a5aacbe05a16b57e074b91408fa56c17030ec033cb3c7326cc19,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.584362,51.769491,On or near CANALSIDE,E01023363,Dacorum 009C,Investigation complete; no suspect identified
c1b0dc554f21298e22fc223bec1d39c3a9bcc52d07c5f7a3cf1ab65864aec07b,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.573807,51.763186,On or near Petrol Station,E01023370,Dacorum 012B,Investigation complete; no suspect identified
62f2a41f2a0ca5a72172c6cc00408337d4e6c23f2d887b3a67549e2dd7415d1c,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.575909,51.763166,On or near QUEENS ROAD,E01023370,Dacorum 012B,Investigation complete; no suspect identified
647ad17e40e97306b451397d21047cd5de0e5f80d69aa8e6e3c6179fc8ade7fd,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.569772,51.761078,On or near PARK VIEW ROAD,E01023368,Dacorum 014D,Investigation complete; no suspect identified
4f0c1f9a13c84023f634081e0cf2377344482f692e5e62143248c9c73fd738e7,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.575628,51.764269,On or near EDDY STREET,E01023370,Dacorum 012B,Investigation complete; no suspect identified
e69af5a03372f19a80cf40346e15d7665d47d0cd43587a4631be7b7ee642fad0,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.573807,51.763186,On or near Petrol Station,E01023370,Dacorum 012B,Investigation complete; no suspect identified
8fb7671a49330adeac738c7895ace8d7e4a3d9fc75a9cae6af04b32d6e7d3a90,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.587433,51.769060,On or near VALLEY ROAD,E01023417,Dacorum 006D,Investigation complete; no suspect identified
49c4db6cb5b1e7ba5310a3b47502ff940286e376db22a64a5876b59be981f3a7,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.582377,51.765762,On or near COOMBE GARDENS,E01023369,Dacorum 012A,Investigation complete; no suspect identified
57c43e8681c1be8ec7544730b9c998c65c19aa950fbe2086be3c531dbc6e6150,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.590740,51.770835,On or near CHAPEL CROFTS,E01023417,Dacorum 006D,Investigation complete; no suspect identified
dbd67dba65b3e225e193dcc59971a85bd09bca666450e767141e078843a0934d,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.591628,51.769308,On or near APPLECROFT,E01023417,Dacorum 006D,Investigation complete; no suspect identified
696923c3329008066e36d1659d1252d5ddf74598ab4592f230a59580846ba8c4,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.556895,51.812749,On or near CHURCH ROAD,E01023356,Dacorum 006B,Investigation complete; no suspect identified
79f1b747947bf55a38a27857e2c38d4f489d1e793ca600538958ad61f123d9f9,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.545587,51.769242,On or near WHYBROW GARDENS,E01023355,Dacorum 006A,Investigation complete; no suspect identified
59d141931d621db3754babbeb48187c4840a784a74428a9827c9586493ab8682,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.552747,51.757893,On or near BEDFORD STREET,E01023362,Dacorum 009B,Investigation complete; no suspect identified
2e83d998b1166e4a7f6360277dab3659c3e5fd3fe876bdead2cf8ad4b60f06a8,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.565200,51.760411,On or near Police Station,E01023365,Dacorum 014A,Investigation complete; no suspect identified
8007750a52a9916ea84081dada8557293e2e3532329c19bac996f2dbd0634e15,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.582377,51.765762,On or near COOMBE GARDENS,E01023369,Dacorum 012A,Investigation complete; no suspect identified
528503ff4a1600ab1cd0c8486f520428587836beed507138a59c541a7f96c44a,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.600916,51.764213,On or near THE LARCHES,E01023416,Dacorum 006C,Investigation complete; no suspect identified
02b9e5865d0f9d29bcf93b552c0d0293881586f7819c5c75c6b8bb3f0dabffb0,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.586437,51.755480,On or near THE SPINNEY,E01023371,Dacorum 012C,Investigation complete; no suspect identified
daa88cfc3ed17bdf4c8f2d25b86d6cea28e816fcfce44ee6739cf06f1cba35a1,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.562352,51.791703,On or near Park/Open Space,E01023416,Dacorum 006C,Investigation complete; no suspect identified
19ed6489c89ef21ee0408335f07a7b545f365c288571007825ae7f6e01d3ddb3,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.579760,51.809439,On or near B4506,E01017702,Aylesbury Vale 009F,Investigation complete; no suspect identified
aa25c6e353dd3d51e244b84d1c82a07768c69d7509129ac3019d038c35227234,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.584362,51.769491,On or near CANALSIDE,E01023363,Dacorum 009C,Investigation complete; no suspect identified
72e15547b148663c3f5754e6879a885b09a5b75d42cb830d6b82c35392dcd753,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.566351,51.760236,On or near ELM GROVE,E01023368,Dacorum 014D,Investigation complete; no suspect identified
