Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6ce400516527626ca0a39c4519174b3c0fd027286ffe43145e45c5f7a8d0d854,2012-09,Sussex Police,Sussex Police,-0.360289,50.820424,On or near Sports/Recreation Area,E01031831,Worthing 009B,Investigation complete; no suspect identified
859f130829f60e073af60721cd7e74384dae9e76b165b68c90ec6f24a670acf1,2012-09,Sussex Police,Sussex Police,-0.357433,50.816445,On or near LYNDHURST ROAD,E01031833,Worthing 009D,Investigation complete; no suspect identified
45ddc6f184bab7a80e594b1eb13485cf701a99ed3a52fcaed0ef9d9e8df008ae,2012-09,Sussex Police,Sussex Police,-0.351415,50.815605,On or near Supermarket,E01031833,Worthing 009D,Investigation complete; no suspect identified
63a0d95a52dd91ac08ad3a8cc11ea385551911086da814d3a8c4f4b307fb0447,2012-09,Sussex Police,Sussex Police,-0.356348,50.813795,On or near ALEXANDRA ROAD,E01031835,Worthing 011E,Investigation complete; no suspect identified
87ead3c666748868dfe62af91b98798189ef805882acca68b20dd08f3fa372d8,2012-09,Sussex Police,Sussex Police,-0.375392,50.809448,On or near NEW STREET,E01031787,Worthing 011A,Investigation complete; no suspect identified
660f6058a22922235fc291de287a20a029c64a37ffc7b3f0dbb7cc22008da242,2012-09,Sussex Police,Sussex Police,-0.369605,50.810563,On or near Shopping Area,E01031789,Worthing 011C,Investigation complete; no suspect identified
e9603be4826892f5dcaeae9e7222016b7a31823ff43e5a69c9f51607dfeb4aee,2012-09,Sussex Police,Sussex Police,-0.382675,50.818057,On or near TARRING ROAD,E01031791,Worthing 008A,Investigation complete; no suspect identified
6fffd52b01195a5733b5b82ccfeded557776e2326631d3ff1e7205680a693cfa,2012-09,Sussex Police,Sussex Police,-0.433126,50.809213,On or near Sports/Recreation Area,E01031802,Worthing 013A,Investigation complete; no suspect identified
80c506a385dfcfb2a16cca8e4c6d573f860c1f5635bd6a203769a8f427e21179,2012-09,Sussex Police,Sussex Police,-0.378742,50.810691,On or near ERISWELL ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
e4f173a2d3d93ed5e08c264a8ef4e9b7ce0183e9453049f44728845b25ef5de5,2012-09,Sussex Police,Sussex Police,-0.383631,50.808025,On or near HEENE TERRACE,E01031809,Worthing 010C,Investigation complete; no suspect identified
bba8bd56843376fde122d42d954429293db81497cf3788b8d2162ec164223ec3,2012-09,Sussex Police,Sussex Police,-0.404661,50.813161,On or near GORING ROAD,E01031813,Worthing 012B,Investigation complete; no suspect identified
4a66d3f87aeb1ad08648cb227f7c2650de6b5a74149efc73fd241eadcc54e80d,2012-09,Sussex Police,Sussex Police,-0.360289,50.820424,On or near Sports/Recreation Area,E01031831,Worthing 009B,Investigation complete; no suspect identified
bdffaf7f3fc9f5dbca391e9e5245d89c35887b63d2de930eb9e7b845bf7a66f0,2012-09,Sussex Police,Sussex Police,-0.349576,50.818232,On or near MEADOW CRESCENT,E01031834,Worthing 009E,Investigation complete; no suspect identified
968c044765f5b5ebd0a888e7dd6c2bb9e2b1e5b8e1074074ea4646d581e2d066,2012-09,Sussex Police,Sussex Police,-0.346893,50.814228,On or near BRIGHTON ROAD,E01031835,Worthing 011E,Investigation complete; no suspect identified
9b46f6e66e2fe36e61e9ece40448ddb524e5df4c1190b384740b87b72f7c9481,2012-09,Sussex Police,Sussex Police,-0.368703,50.810785,On or near BEDFORD ROW,E01031789,Worthing 011C,Investigation complete; no suspect identified
7096feaf170194d1545170a54ef9a33388f29bfd099124f473951c298a765ffe,2012-09,Sussex Police,Sussex Police,-0.367089,50.812696,On or near ELM ROAD,E01031789,Worthing 011C,Investigation complete; no suspect identified
b096f9de92b0c3ce8e4192783b9af9413b599668f43b7b73e35e618dcbc410dd,2012-09,Sussex Police,Sussex Police,-0.375803,50.817251,On or near TEVILLE ROAD,E01031790,Worthing 010A,Investigation complete; no suspect identified
14668cb300c1d9c935995550f8b9c32bcdd51dad89de647a2e8cd0d807cbf032,2012-09,Sussex Police,Sussex Police,-0.376505,50.811757,On or near CRESCENT ROAD,E01031790,Worthing 010A,Investigation complete; no suspect identified
