Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fe001896096ae32df7ef972c4440310faca904d10979d6e18ecf3129a447719d,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.636412,53.385569,On or near ROSSALL ROAD,E01012495,Warrington 016A,Suspect charged
e6996e2c2f7bac3ddbdff253702db13aed5d55b753acf05f317ec1ce7033f863,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.616378,53.414142,On or near BALA CLOSE,E01012561,Warrington 009A,Investigation complete; no suspect identified
0a41f025513168a3f2e5ad224541bf35f9c4d44bafc658fb9ee61bf6cfc65c0c,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.699575,53.336137,On or near HALTON BROW,E01012383,Halton 013A,Investigation complete; no suspect identified
6f4c8af1fd464af303a143465f1979c7902e3c68117f58e8f1099d63e9323539,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.625613,53.170774,On or near MOSS HALL LANE,E01018725,Cheshire West and Chester 045D,Investigation complete; no suspect identified
9c7f8a0eb4ec8ff5f743a6943294dd204592a8ff99fdf798847a9c6eebc18f24,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.191187,53.154026,On or near LEEK ROAD,E01018404,Cheshire East 029A,Investigation complete; no suspect identified
6bd94a0ee847226fd39903ee1c6aa99055897b54e8e732001cf4c60c2f9344ed,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.905458,53.268278,On or near DEESIDE,E01018565,Cheshire West and Chester 014A,Investigation complete; no suspect identified
86295b6122eb9e65495d31931e7ed345764a351dbed35f4c9460e5556e8d17f7,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.763896,53.194031,On or near SHEAF CLOSE,E01018368,Cheshire West and Chester 030C,Investigation complete; no suspect identified
95b58eb9d6bc52e8cd919f64398a1c1837d33c03c4e7e565fecfc18eb221cbea,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.188650,53.155216,On or near MOSSLEY GARTH CLOSE,E01018404,Cheshire East 029A,Investigation complete; no suspect identified
7a347b8d00c80012297c895f580c2b8bcbbcfc9e59264a06685c8ce974c4fd70,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.126218,53.257215,On or near DUKE STREET,E01018624,Cheshire East 018C,Investigation complete; no suspect identified
3e69d0024ad2c871e4b891de2c5339772faeaa5a69279c7178eb5c5c3c22949e,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.932182,53.278859,On or near VALLEY VIEW,E01018541,Cheshire West and Chester 008C,Investigation complete; no suspect identified
69b3e1c7d0b303dfd7abae039aa4e33a30d196fb5cf568232db1057f13f60556,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.596703,53.386494,On or near Further/Higher Educational Building,E01033300,Warrington 018F,Investigation complete; no suspect identified
