Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0aaf8bea304fd331455f9943f9b4b7efa25e027c126ac22e0df94668af1073ea,2013-11,Dorset Police,Dorset Police,-2.468263,50.642911,On or near Sports/Recreation Area,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
d159ed9998a310dac230eb9b1dc441f3976ddbaa4bb7d644c27414eec5a2c14f,2013-11,Dorset Police,Dorset Police,-2.469082,50.614409,On or near LINKS ROAD,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
17210a4e3d74fc511b877be4af7238ea1e74b232dcbf65fb40df03189cb263a6,2013-11,Dorset Police,Dorset Police,-1.733173,50.733565,On or near BURE ROAD,E01020355,Christchurch 007B,Investigation complete; no suspect identified
239c4773aaa8f2f0c06e3d52d3db3815527f8128ed5bcadc264f9d76a01746a4,2013-11,Dorset Police,Dorset Police,-2.029696,50.765070,On or near WATERLOO ROAD,E01020388,East Dorset 012G,Investigation complete; no suspect identified
c00057d51082f5670d8ffd1af3ef21b36b5b1753bf66aafbd5cc9821523e7d29,2013-11,Dorset Police,Dorset Police,-2.106562,50.740304,On or near SLEPE MOBILE HOME PARK,E01020474,Purbeck 002D,Investigation complete; no suspect identified
980f2d85c30e0c39efbb95d34abe7fe8075887648cdac79e4058bb5440d0067b,2013-11,Dorset Police,Dorset Police,-2.526346,50.626422,On or near FLEET ROAD,E01020512,West Dorset 012A,Investigation complete; no suspect identified
650ded000e15f833a18850f37bc656ea009f653f054d83eb7bef62ec9eeb85d3,2013-11,Dorset Police,Dorset Police,-1.750518,50.736166,On or near CAMPION GROVE,E01020346,Christchurch 005A,Investigation complete; no suspect identified
2adfe26d0a47fcf3291f99537065f2e90519babad8230cfa999ec552ee03eefa,2013-11,Dorset Police,Dorset Police,-2.110432,50.686606,On or near Supermarket,E01020485,Purbeck 003C,Investigation complete; no suspect identified
b248900827376046d12da2af9bb2cd604324e6b8feb9235e6ee7c88a4822ff1c,2013-11,Dorset Police,Dorset Police,-2.483868,50.611786,On or near WINCHESTER CLOSE,E01020516,West Dorset 012E,Investigation complete; no suspect identified
32c62f550d53c7ba8336fc951694d9d8df8c36ee0b289651d8fbc4b8e4c21c4f,2013-11,Dorset Police,Dorset Police,-2.457393,50.624590,On or near GREAT WESTERN TERRACE,E01020561,Weymouth and Portland 002E,Investigation complete; no suspect identified
b1724ba390f9e6b0153ac2f9af1aba9cffede10556b54c3448c207ca02968e9e,2013-11,Dorset Police,Dorset Police,-2.312415,50.692390,On or near REDBRIDGE LANE,E01020537,West Dorset 011B,Investigation complete; no suspect identified
413c0a1a7e08fa16d03578658632c843ed1a0d4fbcaf6df4d59e0811585ebb21,2013-11,Dorset Police,Dorset Police,-2.015982,50.756395,On or near NEWLANDS WAY,E01020387,East Dorset 012F,Investigation complete; no suspect identified
163cb7de3ff5375a062d78526182a4162a5c3b87b5cbfc74e8b5cdbde4a77ea2,2013-11,Dorset Police,Dorset Police,-1.999080,50.955390,On or near KEATS MEADOW,E01020397,East Dorset 001D,Investigation complete; no suspect identified
2daa3571f5e96a1e90834fadb14814db97ca28b64a82711f29f312f30befed26,2013-11,Dorset Police,Dorset Police,-2.366531,50.742187,On or near Parking Area,E01020540,West Dorset 004E,Investigation complete; no suspect identified
4c3217b5e4285c9d24c3887214c169351dd77bf7608d3171e5e7d3da8c991b5a,2013-11,Dorset Police,Dorset Police,-1.867910,50.785575,On or near BARRACK ROAD,E01020400,East Dorset 011C,Investigation complete; no suspect identified
ab14b162e8084a8681f20c1be6cb7d7e64f462478cc34acec2f65c97604b87e7,2013-11,Dorset Police,Dorset Police,-1.792919,50.748380,On or near FAIRMILE ROAD,E01020353,Christchurch 002C,Investigation complete; no suspect identified
d5feebdeb747eebc4a7eda5b5e7838d2c35e8ae276299e53c5f3172c9116d510,2013-11,Dorset Police,Dorset Police,-1.756708,50.742025,On or near HILLARY ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
64f55db7a320ed37298d92aac095c1ae55e549184f1b35294d6284ff3f67dd5a,2013-11,Dorset Police,Dorset Police,-1.986993,50.800108,On or near MILL LANE,E01020428,East Dorset 010C,Investigation complete; no suspect identified
33dfda996802791e7a042cd19fcc3dba07f768d4f6ac1cadceb2d5ebd1fe2c8d,2013-11,Dorset Police,Dorset Police,-2.274334,51.038750,On or near BARNABY MEAD,E01020443,North Dorset 001A,Investigation complete; no suspect identified
be1487be1af09e669cc33086ab05d89f70ee783ca5d64a1e6679aa6e82465840,2013-11,Dorset Police,Dorset Police,-1.833595,50.837553,On or near ASHLEY DRIVE SOUTH,E01020405,East Dorset 004C,Investigation complete; no suspect identified
eb7708f0cb40be5029fb06bb1bed23fad731d5fc006a7134bfa12f4bb8fb36f6,2013-11,Dorset Police,Dorset Police,-1.883935,50.804431,On or near APPLE TREE GROVE,E01020394,East Dorset 008E,Investigation complete; no suspect identified
62c7ecbd57b70fdc384ad969300c85d7948d3865a9187772b17a2f4c384d5ea7,2013-11,Dorset Police,Dorset Police,-2.760544,50.733645,On or near Supermarket,E01020503,West Dorset 008B,Investigation complete; no suspect identified
29d9d8cf0a2ae89643b70a8224739d637b1181e723bba25ba0530bcc8e600387,2013-11,Dorset Police,Dorset Police,-1.987745,50.800100,On or near B3073,E01020428,East Dorset 010C,Investigation complete; no suspect identified
47a185d06503f3190d7f571878a9f7e27a599fe96dbdc57edaa211d34a90f89f,2013-11,Dorset Police,Dorset Police,-1.837875,50.835949,On or near GAINSBOROUGH ROAD,E01020404,East Dorset 004B,Investigation complete; no suspect identified
e0fbf4941225895d6d794ca77f3b41527e60a9bfc8628b1d2d385a48a0334b42,2013-11,Dorset Police,Dorset Police,-2.054029,50.631061,On or near HALVES COTTAGES,E01020466,Purbeck 005A,Investigation complete; no suspect identified
adfbd1afc366715db3026d51df63edd3a4a6e0ff27354c75b38349fecf338e8f,2013-11,Dorset Police,Dorset Police,-1.966568,50.848322,On or near Park/Open Space,E01020398,East Dorset 005B,Investigation complete; no suspect identified
af72b7724372e47daae81b802da830142b493ab451f6fc5a4e147b755a23fc9b,2013-11,Dorset Police,Dorset Police,-2.467353,50.648166,On or near CAME DOWN CLOSE,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
091b47ec473066b25ffef83b1eefcb56bf2817b8034351ab3209ecf2f9108669,2013-11,Dorset Police,Dorset Police,-2.464144,50.714258,On or near KINGSTHORN ROAD,E01032641,West Dorset 009F,Investigation complete; no suspect identified
88c61cabb8a6b09646933afb5c5664b432175413dd85eaa2a762977d13af12f2,2013-11,Dorset Police,Dorset Police,-2.259272,51.030835,On or near SHAFTESBURY ROAD,E01033156,North Dorset 002E,Investigation complete; no suspect identified
f846466b52d074d07164a5e1a7ebd5db63eaf895687739b8fc1cdb076036c683,2013-11,Dorset Police,Dorset Police,-2.450663,50.732314,On or near COCKLANDS,E01020510,West Dorset 004B,Investigation complete; no suspect identified
8ebefc0599c53b960ff9bdc5af5b509b007035c1490141f9d9c14aa404e1cbbc,2013-11,Dorset Police,Dorset Police,-2.089897,50.814579,On or near CHURCH STREET,E01020410,East Dorset 005D,Investigation complete; no suspect identified
a29558ee62b5588bd0b2e32a795b069f76f8fcaf31a90e523e4e24df284e6550,2013-11,Dorset Police,Dorset Police,-1.962314,50.856405,On or near BAKERS LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
