Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
12b5d9efa1b443699403ccdc1fbdf22148ee3b3b28dcc9b0473160d55ed41f61,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010830,51.867077,On or near PARKINS CLOSE,E01023507,East Hertfordshire 006C,Investigation complete; no suspect identified
96bee2e87ca746f1ffb0226b931087ad3d36f6005342ed0a657988c253b581d4,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.014284,51.752952,On or near Parking Area,E01023321,Broxbourne 003B,Investigation complete; no suspect identified
0db7914e48f05c557e0371b6bb799b0a7c60ba628b3c1131bb33e2b5486c1278,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.007447,51.761469,On or near Pedestrian Subway,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
66f748409e9fb9945ffb313b4c7f1fa75a9d0b321a9d812fc5e98344d1634648,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015184,51.760853,On or near NORRIS ROAD,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
1672096a90001e1697838f6ae5fa2fb1409c6f155dd49eaf5e778a1507314e57,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.007447,51.761469,On or near Pedestrian Subway,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
929302e8ab4a6e64df5dc433eced50409e61d1d09d9c4dd1b6067576979b5226,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,0.000453,51.773978,On or near FOXGLOVE CLOSE,E01023330,Broxbourne 002D,Investigation complete; no suspect identified
9ca68cc9ad214e617423af29cec0db84a725dc0b857f3fb1bfd1485d0900088c,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.007447,51.761469,On or near Pedestrian Subway,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
015527e4ef7d7d462813da67190a3d677efac4a32e264e7b549e913730e7531e,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013037,51.747373,On or near STAFFORD DRIVE,E01023291,Broxbourne 004C,Investigation complete; no suspect identified
534a0186c9a251bf5439b82170442527a5a96cc89f0f2b0c136131c7631996ac,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012491,51.759792,On or near Supermarket,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
f2b697485e45ff5bd5fede0eaecabc09b08b9fa59cb91023a9d7eec7dcba42b1,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.009566,51.775236,On or near DYMOKES WAY,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
a9856ea37fa3c950c153c07070a12e575efa060b1be7d641dc3e5432ac7adc70,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.019120,51.735139,On or near CLYFTON CLOSE,E01023340,Broxbourne 005A,Investigation complete; no suspect identified
efb0e44785553d8ccc8850d63284f0ee940de3fbbfe4ce479a757eede4264df7,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028489,51.743155,On or near BADGERS CROFT,E01023289,Broxbourne 004A,Investigation complete; no suspect identified
22cc6bb8da5f6ec228cb9ddf32e4c95ae74d14b58c50e1d49f48ba0d3fb1dcfb,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.007447,51.761469,On or near Pedestrian Subway,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
ce9123f9a7ffd8af30036c2600bb503059991acfc34e11ecd2c9a3e39eac7863,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.014027,51.773342,On or near WARE ROAD,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
624c61a0271508e4340aa422004f3db8f503025bd004b48b0fac6524c19a47cb,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015073,51.776246,On or near BOREHAM MEWS,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
cee0ca89ba938aae55e5519bb98f42ff51c2a351618652c5cb48dcdedee7be98,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012759,51.745777,On or near KINGFISHER CLOSE,E01023291,Broxbourne 004C,Investigation complete; no suspect identified
7c2ef3d6c4426122cf0db183f73e05e93db119110b6600294fa59462d5c2da5c,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018954,51.744569,On or near MILL LANE CLOSE,E01023292,Broxbourne 004D,Investigation complete; no suspect identified
ff3feb340da1245a8b539bc22548b1eb5c17f415851c240a525e99bd65904e06,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.007714,51.764288,On or near MARSTON ROAD,E01023322,Broxbourne 003C,Investigation complete; no suspect identified
3d902f62b961adf6ec548a0f7ddace098022a6ceb907b20fb86c2c3e4b598cdd,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013037,51.747373,On or near STAFFORD DRIVE,E01023291,Broxbourne 004C,Investigation complete; no suspect identified
538ae107fd3d7b304c790cfb24008498e7a89576cee567f2e4c4c8b875e751b3,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013154,51.757896,On or near Petrol Station,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
538ae107fd3d7b304c790cfb24008498e7a89576cee567f2e4c4c8b875e751b3,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013154,51.757896,On or near Petrol Station,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
6a387cdcb8a3f1e5bf2fe5becfa7daab62ecb179d7659e1fce44805864f77cfe,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012092,51.764928,On or near AMWELL COURT,E01023322,Broxbourne 003C,Investigation complete; no suspect identified
0646a8479bde89350acb67fbccfefaab602a04d76b2336a4b653a8fac695177d,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012092,51.764928,On or near AMWELL COURT,E01023322,Broxbourne 003C,Investigation complete; no suspect identified
0646a8479bde89350acb67fbccfefaab602a04d76b2336a4b653a8fac695177d,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012092,51.764928,On or near AMWELL COURT,E01023322,Broxbourne 003C,Investigation complete; no suspect identified
d90c7cfd7eaf402db5d1359dcfb7ee7e6df687523b1b6808c7bc651a804d3129,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.009940,51.777274,On or near HAILEY AVENUE,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
06c3b693748c6a9281f74d8d7c606b19bc7088fc14ed6e0d3a9db3391a735224,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.019120,51.735139,On or near CLYFTON CLOSE,E01023340,Broxbourne 005A,Investigation complete; no suspect identified
65b467f9c516373d0f897823915def3c33d2ce9d71721fd86ee2fa8a16338765,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.007882,51.766413,On or near Parking Area,E01023327,Broxbourne 002A,Investigation complete; no suspect identified
a3acb9cc87a90ef031f2f562033da6c80e67ceaa28fa40de04dfb56cc655c170,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.004461,51.758208,On or near BRIDGEWAYS,E01023321,Broxbourne 003B,Investigation complete; no suspect identified
27fee31f46d82a6c7c2665752dff2a4a5c3977c1702e0b690914473b95bfe24d,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.009610,51.761712,On or near Nightclub,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
