Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1604d74f96066393244b0e78b44294dd219a39270e9f8151f9aaeed3ad9dc39c,2013-12,Surrey Police,Surrey Police,-0.427170,51.411721,On or near FALCON WAY,E01030717,Spelthorne 011A,Investigation complete; no suspect identified
731c42cd56701359af403b6dabce1feddbfe390a341d95f8a302982106a19207,2013-12,Surrey Police,Surrey Police,-0.560436,51.310561,On or near POPLAR GROVE,E01030991,Woking 008D,Investigation complete; no suspect identified
825d573e12dc19383727bec22e3ef9e5ce011f3c2cc2909f244b24e173ab1c12,2013-12,Surrey Police,Surrey Police,-0.647304,51.167691,On or near MILFORD LODGE,E01030938,Waverley 011D,Investigation complete; no suspect identified
9c1a9e656c24e06d4d7657efb99c26054260c4f2dd081ecc1805fc087339a109,2013-12,Surrey Police,Surrey Police,0.015190,51.238921,On or near HOLLAND LANE,E01030832,Tandridge 006B,Investigation complete; no suspect identified
58b7add295986a49a23a08765302819aca92e2000f7eccd9b5bb08e3aef1771b,2013-12,Surrey Police,Surrey Police,-0.048330,51.159402,On or near WIRE MILL LANE,E01030823,Tandridge 011E,Investigation complete; no suspect identified
6307c0de3172e8fa53be6ade060ba45713f997cb3ef8bae9634ffb8262214f09,2013-12,Surrey Police,Surrey Police,0.011878,51.167249,On or near FORD MANOR ROAD,E01030821,Tandridge 010A,Investigation complete; no suspect identified
a4e59f0b4b7023050fbb779fce10e57a4b1682b403c3b54d9df3ce4ed9585f64,2013-12,Surrey Police,Surrey Police,-0.066811,51.261537,On or near FARM LANE,E01030825,Tandridge 009B,Investigation complete; no suspect identified
bd980978688e8e64ececd5d4bf9c0b0c0dfa12d523a83a9f29c31f1a5b8be344,2013-12,Surrey Police,Surrey Police,-0.103017,51.240285,On or near HIGH STREET,E01030815,Tandridge 008D,Investigation complete; no suspect identified
ebff5dead3b38b3c9b9266ff2d33eef3326d0e0c5001f46a34facb97a1734743,2013-12,Surrey Police,Surrey Police,-0.170945,51.233651,On or near WILTON ROAD,E01030613,Reigate and Banstead 011D,Investigation complete; no suspect identified
3119757881d51200e1deb9a6fa8e1bdc0f55444b48a338490d7bdc9885766586,2013-12,Surrey Police,Surrey Police,-0.577046,51.246208,On or near STOCTON CLOSE,E01030450,Guildford 013B,Investigation complete; no suspect identified
4d82d40e1893c507a143a3b7c54afc9275f776e278d7a20f4ff02c87165c77ba,2013-12,Surrey Police,Surrey Police,-0.486315,51.361135,On or near BATES WALK,E01030683,Runnymede 010C,Investigation complete; no suspect identified
9d38d9c556b4f5d5ee716fa0868015211566c3278bfdd624988697b244c178d5,2013-12,Surrey Police,Surrey Police,-0.016708,51.174446,On or near HIGH STREET,E01030833,Tandridge 010C,Investigation complete; no suspect identified
74ae4668f1ac01179e3dd013f3a49579a6e511e34f2fa324ba86b94210cb41ee,2013-12,Surrey Police,Surrey Police,-0.441500,51.211605,On or near WONHAM WAY,E01030492,Guildford 018C,Investigation complete; no suspect identified
cfae4190896f69fca8d85f6998368306dacff3df81fb5932264b5fb4f75ad3bb,2013-12,Surrey Police,Surrey Police,-0.567724,51.240492,On or near FOXENDEN ROAD,E01030457,Guildford 013F,Investigation complete; no suspect identified
5d9488f083e5ecfb4f9212e7fee1781aaf69d6204084844ab0935e4ec42c5ba0,2013-12,Surrey Police,Surrey Police,-0.273182,51.364644,On or near SCOTT CLOSE,E01030399,Epsom and Ewell 002B,Investigation complete; no suspect identified
1f7c3b630e4c9ed6a67d3a350029bff83dce54272510d6135a4077a0751a3685,2013-12,Surrey Police,Surrey Police,-0.276764,51.331218,On or near WHEELERS LANE,E01030404,Epsom and Ewell 007D,Investigation complete; no suspect identified
f128004094e8df453d528b012ffb141225010fe03312fbc33e92941f6dd8390b,2013-12,Surrey Police,Surrey Police,-0.268600,51.358147,On or near POOLE ROAD,E01030414,Epsom and Ewell 002D,Investigation complete; no suspect identified
a023a843b69ae979b036f4d5d10d3ff9f5a9be5f5193160bac065c68ac14070f,2013-12,Surrey Police,Surrey Police,-0.445340,51.410209,On or near ALMOND CLOSE,E01030722,Spelthorne 012B,Investigation complete; no suspect identified
0af1a6449c3d4da2d5e33f5edd0d69ceaddeb05ace80f570eceb57877da4ddd4,2013-12,Surrey Police,Surrey Police,-0.422231,51.419010,On or near CROSSWAYS,E01030752,Spelthorne 008E,Investigation complete; no suspect identified
49af7bb9c0eb354fb89258958b627bd33ed53fa31462a21600e33e496f0cfbc4,2013-12,Surrey Police,Surrey Police,-0.595215,51.355172,On or near MINCING LANE,E01030763,Surrey Heath 001A,Investigation complete; no suspect identified
0f6fb4973457c443b7431d0edee846fa057e5f87e066e226e29edaf355bb1cf8,2013-12,Surrey Police,Surrey Police,-0.188710,51.336732,On or near Prison,E01030563,Reigate and Banstead 002E,Investigation complete; no suspect identified
1ba1114cbf52b4b180bcb88be94911aafcd0a932d1e362cfb73023b4dd1b912e,2013-12,Surrey Police,Surrey Police,-0.145762,51.203362,On or near AXES LANE,E01030629,Reigate and Banstead 015B,Investigation complete; no suspect identified
f697d37d234bcf7c03c01b89384ba9273c7d613716485950a487435008075a54,2013-12,Surrey Police,Surrey Police,-0.605943,51.311633,On or near BATTEN AVENUE,E01030960,Woking 009A,Investigation complete; no suspect identified
677c301db81fd9ad31591a043d1f23af5ee74d4f63620a0cf069d252141180a1,2013-12,Surrey Police,Surrey Police,-0.565646,51.310499,On or near MIDHOPE ROAD,E01030991,Woking 008D,Investigation complete; no suspect identified
7fd77ebebcbb609869bbf7b4b50d16f9c1796739dc934a491c7597f0906387e9,2013-12,Surrey Police,Surrey Police,-0.583267,51.322566,On or near BROOKFIELD,E01030952,Woking 005B,Investigation complete; no suspect identified
797a2e5e2831d3df70d1d3ba235269325b70dd7958be300d8fe30b029cb63f56,2013-12,Surrey Police,Surrey Police,-0.674797,51.345083,On or near BROOM FIELD,E01030778,Surrey Heath 003A,Investigation complete; no suspect identified
5a7192c32f85d601675ec06099b8d2d597a3d4f054bb34e757ff7492abc333e8,2013-12,Surrey Police,Surrey Police,-0.516518,51.378157,On or near GORDON DRIVE,E01030655,Runnymede 007F,Investigation complete; no suspect identified
b067738cee6750485630534726f07a0b5456fe51959c7abdb56404bb27cd75fa,2013-12,Surrey Police,Surrey Police,-0.528886,51.378268,On or near GREENLANDS,E01030677,Runnymede 008A,Investigation complete; no suspect identified
4a9d3c2095c01d096544ef3f6c50f67c91d6395949c39710949a082b068592b3,2013-12,Surrey Police,Surrey Police,-0.527404,51.427995,On or near GLEBE ROAD,E01030665,Runnymede 003C,Investigation complete; no suspect identified
23b34ffe939c12d8bff6b6329f1ff2ed9138572d15147235c577438255a1db3e,2013-12,Surrey Police,Surrey Police,-0.410509,51.328172,On or near HIGH STREET,E01030302,Elmbridge 017C,Investigation complete; no suspect identified
13e0bbac7c66adfaf05b9f6fe727434af0826f6f67af5c4c3c03e5ca700deb92,2013-12,Surrey Police,Surrey Police,-0.210092,51.237367,On or near PILGRIM MEWS,E01030620,Reigate and Banstead 012D,Investigation complete; no suspect identified
57259e3c3f50e829802100095fa43044cf5ee7834704c91919394c6d411d6d18,2013-12,Surrey Police,Surrey Police,-0.206972,51.314999,On or near POUND ROAD,E01030562,Reigate and Banstead 002D,Investigation complete; no suspect identified
f08f83f3dff4bca04e7d26676fc68fe6727ca05481795ab5492136b7610f14a1,2013-12,Surrey Police,Surrey Police,-0.161812,51.160494,On or near Parking Area,E01030577,Reigate and Banstead 018C,Investigation complete; no suspect identified
4b68136214f7a19fdde8899df6ca9a42904eebc68206ce50be72f911b3fac6b2,2013-12,Surrey Police,Surrey Police,-0.507740,51.419177,On or near PENTON AVENUE,E01030728,Spelthorne 009C,Investigation complete; no suspect identified
2f6137b44d4b0a0e20e0744158b7aa6f450375bce644d4902800ceddc9fdefcb,2013-12,Surrey Police,Surrey Police,-0.423893,51.399977,On or near HIGHFIELD ROAD,E01030719,Spelthorne 011C,Investigation complete; no suspect identified
e2fa47b866a402bd5c81d79b08356d12bc1ab2c68cc8208ce958e83c8f485b5b,2013-12,Surrey Police,Surrey Police,-0.242656,51.361277,On or near THE GLADE,E01030407,Epsom and Ewell 003D,Investigation complete; no suspect identified
c9e2feb86e94e2d4a1b922a33556e590f82ff32df149c2d703c932bb94ec2768,2013-12,Surrey Police,Surrey Police,-0.264213,51.334000,On or near HIGH STREET,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
3b0ad11a1de5fd1493ffaa58ed1850847125610e0e443a5471d508610461898b,2013-12,Surrey Police,Surrey Police,-0.240361,51.357052,On or near THE AVENUE,E01030398,Epsom and Ewell 010E,Investigation complete; no suspect identified
b83bcb5fbf44029f8f4f001a4313464094712bf0f5ad44d7911ed29a41ac2d28,2013-12,Surrey Police,Surrey Police,-0.262972,51.342515,On or near BLENHEIM ROAD,E01030385,Epsom and Ewell 007A,Investigation complete; no suspect identified
651d035a09468eea9b942224a747073aca81ec8343579e002ba9d574969b76fd,2013-12,Surrey Police,Surrey Police,-0.617000,51.185232,On or near Parking Area,E01030914,Waverley 010A,Investigation complete; no suspect identified
a9867121a6fcceb3ec0592280f9a259124b393be5227bbfdae5c719720dc3283,2013-12,Surrey Police,Surrey Police,-0.011685,51.209722,On or near CROWHURST LANE,E01030834,Tandridge 010D,Investigation complete; no suspect identified
b881f32182640c889c7919307efd200b7f809939269bd082bf3040889b402da1,2013-12,Surrey Police,Surrey Police,-0.407001,51.391701,On or near SECOND AVENUE,E01030364,Elmbridge 004D,Investigation complete; no suspect identified
48611539dc2f51f33f2fb6b7f384dd8900865d3098bd35baabb5c09ae745b1dc,2013-12,Surrey Police,Surrey Police,-0.723974,51.331107,On or near HOPE FOUNTAIN,E01030789,Surrey Heath 009A,Investigation complete; no suspect identified
35f5a8b16b42933b851018396c999009cb2ce2786e2c2991dba33edb1ffabf4a,2013-12,Surrey Police,Surrey Police,-0.785366,51.235417,On or near FARNBOROUGH ROAD,E01030890,Waverley 001A,Investigation complete; no suspect identified
2e138a0d5e1a7a956ec70fa6f7da257190f66836c69364a4fc15795062b870a4,2013-12,Surrey Police,Surrey Police,-0.549286,51.324730,On or near MOLLOY COURT,E01030983,Woking 004D,Investigation complete; no suspect identified
4b43f618f597569e46e7ef0223fe4993313a248c6c06724f5db6dcb272578bdb,2013-12,Surrey Police,Surrey Police,-0.121905,51.172585,On or near GRANGE END,E01030818,Tandridge 011C,Investigation complete; no suspect identified
22e90bd67cdbf2cf532f290320865706dc6f16756d0578c48c9793f11e823454,2013-12,Surrey Police,Surrey Police,-0.465783,51.435648,On or near KNAPP ROAD,E01030712,Spelthorne 003C,Investigation complete; no suspect identified
77d4e3e4acf3500f5577e56e443542c1f446db74a0ab2d0493717559fe4e5b85,2013-12,Surrey Police,Surrey Police,-0.451697,51.433143,On or near CHATTERN HILL,E01030703,Spelthorne 005C,Investigation complete; no suspect identified
b2d1bf24e7e008aa04caaa2bf5b7f07d990a72ce5fa95d667a7386f7cdeec192,2013-12,Surrey Police,Surrey Police,-0.468581,51.428986,On or near PERRIN CLOSE,E01030716,Spelthorne 003G,Investigation complete; no suspect identified
72631e2b54b823b6c2e2aec6137a0d114abc39800f791eaf9dba0b08d2ab4684,2013-12,Surrey Police,Surrey Police,-0.274675,51.340980,On or near KENDOR AVENUE,E01030403,Epsom and Ewell 007C,Investigation complete; no suspect identified
433b2098a1c2001606693ee363dc067b97ab03a0d956c93ab08ac86946765292,2013-12,Surrey Police,Surrey Police,-0.262017,51.333598,On or near DEPOT ROAD,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
27eb6acd7f13873fe695fd5afbf0e9c9e676235254c17dfacff012adea875548,2013-12,Surrey Police,Surrey Police,-0.344614,51.360819,On or near Parking Area,E01030297,Elmbridge 015B,Investigation complete; no suspect identified
