Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
70914cd59b01fa4eabe4c850a70e1925ef5f7659655f470dde8efb3bba7336e9,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.679185,52.326359,On or near Supermarket,E01030282,Waveney 014A,Investigation complete; no suspect identified
1133fe0a7159f07e18cdb16ab9be8f569f837408533fd9730e6a7f63bb60622d,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.064524,51.964189,On or near KETTLE WAY,E01029870,Babergh 010A,Investigation complete; no suspect identified
177ad84198f063d918e63c7a14891c4f4ffca1fffa3e7061ce57e27d35de1b27,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.134446,52.061191,On or near YEOMAN CLOSE,E01030023,Ipswich 006B,Investigation complete; no suspect identified
2a1439e0be318528f0d79922029115f7a85878ad8ea7ec828ab5ed5ff7e0968b,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.143795,52.052208,On or near Parking Area,E01029985,Ipswich 010B,Investigation complete; no suspect identified
effdefba2e3dde6799647dac18de25e512bfdc3c997c39a7606410a42eb97ec9,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.198793,52.034439,On or near LESLIE ROAD,E01033128,Ipswich 014F,Investigation complete; no suspect identified
275f1c38aae11f2437e30daf011c8507a3312697c8880a22a3276961324b0cd7,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.451654,52.080403,On or near RUFFLES ROAD,E01030106,St Edmundsbury 014B,Investigation complete; no suspect identified
74968d715f62a3da461a36aa7f75abf67c8afdc51197c2acfaf91821f7f7c13a,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.753111,52.475308,On or near GROVE ROAD,E01030250,Waveney 004D,Investigation complete; no suspect identified
7abb1ce046780d34dd8c733ba981670b02ef1a21c50cc4de6441049355d3eff0,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.571647,52.456387,On or near GOOSE GREEN WEST,E01030223,Waveney 010A,Investigation complete; no suspect identified
6cb86b6e0cfddee0e9e555c2d8a87f7d048f9d5c8ae812afe8cc6be42f75be94,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.141324,52.058363,On or near DILLWYN STREET,E01029988,Ipswich 010E,Investigation complete; no suspect identified
edc3fb6e5547fb58cf19124ca5fd96aa9967221f1f8e7402c65cdb488f34023d,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.715791,52.075995,On or near THE SPINNEY,E01029901,Babergh 003B,Investigation complete; no suspect identified
7742045aa4b9dad9dbacad77bd045c6b0875e8fcf4ef9b641663959c273f574f,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.763401,52.069411,On or near HIGH STREET,E01029923,Babergh 006D,Investigation complete; no suspect identified
f1a4235f1b2615acfa1022e4b1a11165446ca2eda283fe6d3789b007171660d3,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.711864,52.255090,On or near THINGOE HILL,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
ab73bdbaef61e3499ab6161211f8a72c6ade7dc696cf600ac95baa7e2e618d53,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.130077,52.082164,On or near SPENSER ROAD,E01030032,Ipswich 001A,Investigation complete; no suspect identified
c8d608f5fdaade680f6df6aee32fcba76eaadca4e54f53056403b345043ef783,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.693885,52.274449,On or near RECTORY MEADOW,E01030103,St Edmundsbury 004A,Investigation complete; no suspect identified
281836f95c61c6c4c1d81d61aa29d50d0d03425937b22941261a15d2cec30ad6,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.832530,52.297705,On or near SADDLERS YARD,E01030121,St Edmundsbury 002B,Investigation complete; no suspect identified
7cd512f4cf79293e385b1871d3d104338f63fdb685f6623a96aefcee2dbdbd5b,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.809119,52.321323,On or near THETFORD ROAD,E01030121,St Edmundsbury 002B,Investigation complete; no suspect identified
68b65093c57050b03de82fead8ee479c57a0aa127499b5e8f4800433e5b7d22d,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.187343,52.066147,On or near RUSHBURY CLOSE,E01029999,Ipswich 004C,Investigation complete; no suspect identified
9e46f942f99a7aa232c08a97390feedbb60a768a4571d237235630fe75a06534,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.324251,51.956418,On or near WALTON AVENUE,E01030171,Suffolk Coastal 012A,Investigation complete; no suspect identified
512cf34aeacf4bbf1f2992fb9170243422852025c53d4b77720764f4820783c0,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.086933,52.059865,On or near Park/Open Space,E01029879,Babergh 005C,Investigation complete; no suspect identified
