Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9d6bb17f00c3f9a8c5b65b9a5810190990ed49672d78f8fd08ae8b224db2be0b,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221194,52.576759,On or near Petrol Station,E01015616,Peterborough 013F,Investigation complete; no suspect identified
2ed30ae7a660b30f1fbe948b69ba22edc9afb12516aeef6b73b5c70758e5abae,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.186561,52.335189,On or near ALDER DRIVE,E01018138,Huntingdonshire 012A,Investigation complete; no suspect identified
d16273aa75b86ac163319ff6be5978a90e5864451b4937dc28feea48d6f4a9c0,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.230244,52.573738,On or near NENE STREET,E01015611,Peterborough 013B,Investigation complete; no suspect identified
ff15ae02224f56ee64f9c2f04dcd5941e23554c84b08f8cf32164d70b7c620cb,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.268516,52.611778,On or near STORRINGTON WAY,E01015683,Peterborough 006D,Investigation complete; no suspect identified
3e85d18371dcd723b1ad8162557625b4d3599bc435b067a91c6bd5e019b8654e,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.066245,52.191062,On or near RIDDY LANE,E01033116,South Cambridgeshire 021D,Investigation complete; no suspect identified
30833d81c94f52c0b56b55132ed2a648ed5e6920266d42546b18a6bfcb74937d,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120216,52.206273,On or near Nightclub,E01032797,Cambridge 007G,Investigation complete; no suspect identified
92625de27ad11377e47de38cb105aeae41fcefdc8da14036df140ae6a24fc595,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.256739,52.291056,On or near Parking Area,E01018119,Huntingdonshire 017B,Investigation complete; no suspect identified
87f7669e3f0524ef6d0b2226f1c7986942dcb100a30a7252179ac9a5db12ae32,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
8bfd95c4bd3c91fb0ac31c553dced4343356b70cb5bbe575116bef6ee7d7019e,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.180055,52.352793,On or near Supermarket,E01018146,Huntingdonshire 008D,Investigation complete; no suspect identified
aa848dc69a5f8f760b72dbe50f1c9e7e4dc9ba27afcd1c1a09848e216d158c3f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.421774,52.592306,On or near RUSSELL HILL,E01015628,Peterborough 004D,Investigation complete; no suspect identified
fc4fe5ac22fe2eb332ca69a3c9cdfd91ecb7d05f45687542cb5dd2db8ca44650,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.111633,52.219726,On or near HISTON ROAD,E01017949,Cambridge 002A,Investigation complete; no suspect identified
e51268ff324225a13abe924e738a81d62ddc14afdf010bb390bb6d31ae4ad708,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.251404,52.588249,On or near SEARJEANT STREET,E01015604,Peterborough 010B,Investigation complete; no suspect identified
6b0cc0a7643cec213f30163de19a6ace80ea3d9a5ab1dfc7d42649c61996011f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.341638,52.147080,On or near Sports/Recreation Area,E01018218,South Cambridgeshire 016A,Investigation complete; no suspect identified
e9c0ac3c6385f579fdfc9df1771a8ea170e910a4880d03b51a381bee1f57cdf5,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245401,52.572984,On or near KING STREET,E01015599,Peterborough 014A,Investigation complete; no suspect identified
69bb3ece829f067a65087edf591352b951ba43c04de24b067e8dffe6cf53c2e4,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.264389,52.217961,On or near MOUNTFORT CLOSE,E01018186,Huntingdonshire 021F,Investigation complete; no suspect identified
9b521f2c61e12badf48f8e82b84373f738eebc27735ca76ca7a7bd5c487cf6e6,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120216,52.206273,On or near Nightclub,E01032797,Cambridge 007G,Investigation complete; no suspect identified
9a1c87eb53c3b98ed1ace17b8811789884b0a022f12d0d8101a47026c01fec9a,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.167383,52.657661,On or near ELM ROAD,E01018070,Fenland 003B,Investigation complete; no suspect identified
c1da5f0e2b7c508389fcb2378dd6c3d7fb4243080fae262b996793c24cbde3f8,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120910,52.206404,On or near Nightclub,E01032797,Cambridge 007G,Investigation complete; no suspect identified
a62359d8e1b9e93d557690c1c82ac4a065980ea01dd6c1dbf1b68ac46b35e2ec,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.153240,52.467618,On or near Sports/Recreation Area,E01018157,Huntingdonshire 003B,Investigation complete; no suspect identified
d82f49ea5c9f394cbe8e08e6b48195ffcb3dc997d9c684b9c1cf3e96b4901594,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.044004,52.360387,On or near SHORT DROVE,E01018123,Huntingdonshire 007C,Investigation complete; no suspect identified
a282929c297944986e6d05579e282f76e8ec62765499b976cfc008a7dc4d6289,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284202,52.588720,On or near Parking Area,E01015594,Peterborough 011C,Investigation complete; no suspect identified
1428df642860f541c84d75573291e9c5ae2eb1c0960f8edaf192b91dc12ca5ad,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.134656,52.563064,On or near STONALD AVENUE,E01018064,Fenland 006A,Investigation complete; no suspect identified
32e43e80ddcd9d5aa9c52dcc6e68c8c3ae53bd161c33584038bcf98728392708,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.184631,52.333928,On or near ASHTON GARDENS,E01018138,Huntingdonshire 012A,Investigation complete; no suspect identified
3dff7a7053704f3201248cc3de636585f85c421896193b7d98aa6e5c894bf82b,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.249158,52.566458,On or near GEORGE STREET,E01015622,Peterborough 016A,Investigation complete; no suspect identified
f2d85b714f04c341bad9510e42660e602642a5f4a2f414241cb6ee143a39df25,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.166296,52.313432,On or near ROMAN WAY,E01018133,Huntingdonshire 014C,Investigation complete; no suspect identified
