Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67c2d2125f8a9cd96e4aaceeac096723cac9df24d4a03e60a1afb83990de0a2f,2013-12,Northamptonshire Police,Northamptonshire Police,-0.877546,52.240166,On or near SOUTH STREET,E01027224,Northampton 025B,Investigation complete; no suspect identified
b6c6d6e24e5a1c3587deb1587d3b61f09bb608039ed6916a4da4e6b7c9dccd6e,2013-12,Northamptonshire Police,Northamptonshire Police,-0.702651,52.464823,On or near GOODWOOD CLOSE,E01032967,Corby 009F,Investigation complete; no suspect identified
61eab4ae4222ec7314a5145e024afb53a2620291c7db90417ce9b9d6fb6b90d6,2013-12,Northamptonshire Police,Northamptonshire Police,-0.848301,52.249153,On or near GRASPIN LANE,E01027256,Northampton 020B,Investigation complete; no suspect identified
62cee64a4db6a36fa7784b1bd4714330b1a424c92108cb52a76551d76e6868d9,2013-12,Northamptonshire Police,Northamptonshire Police,-0.883988,52.240829,On or near WILBERFORCE STREET,E01027228,Northampton 023D,Investigation complete; no suspect identified
e73ec692774a413dea90500ac497ef7320264e20f14e7cce3e85d86e40868343,2013-12,Northamptonshire Police,Northamptonshire Police,-0.891266,52.264363,On or near HASTINGS ROAD,E01027230,Northampton 009C,Investigation complete; no suspect identified
9d54625ec422dbd2038c3664d13e7d1fe43c059797b7d08a1c5379e007d4c5c9,2013-12,Northamptonshire Police,Northamptonshire Police,-0.714609,52.307275,On or near RYCROFT CLOSE,E01027310,Wellingborough 007B,Investigation complete; no suspect identified
b3f7397f941ceb3e2fa42fd84641b7ee36cc9c33d985928c3229a21f3af67823,2013-12,Northamptonshire Police,Northamptonshire Police,-0.549964,52.311312,On or near CALDECOTT ROAD,E01027035,East Northamptonshire 007B,Investigation complete; no suspect identified
6e5fc247c62dfb3f9fa9a12393ccc1bcffe7d2b1c997d6a4167f07699ae9e407,2013-12,Northamptonshire Police,Northamptonshire Police,-0.876581,52.250541,On or near THE CRESCENT,E01027184,Northampton 015A,Investigation complete; no suspect identified
2508d26c252c26657323d195917d91f353f4ee2cbc51b2d7d3010fbd6ac9094b,2013-12,Northamptonshire Police,Northamptonshire Police,-0.688657,52.302009,On or near VICTORIA ROAD,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
53edf1be753b649e68fe99eb311f7da9cb939ed18ba581d3ed82b690aa8a1a45,2013-12,Northamptonshire Police,Northamptonshire Police,-0.674510,52.475462,On or near CLARENDON CLOSE,E01026977,Corby 003C,Investigation complete; no suspect identified
8a85ff6507ae17a3fdffb338fa910868ba7f005848b0194788cbc5bca85c789d,2013-12,Northamptonshire Police,Northamptonshire Police,-0.616602,52.324617,On or near RECTORY GARDENS,E01027039,East Northamptonshire 006B,Investigation complete; no suspect identified
1d326fc2b2ab04ec40bcc77281df0a8f4a50cd3a242913f53f371b6bf5cb0044,2013-12,Northamptonshire Police,Northamptonshire Police,-0.848301,52.249153,On or near GRASPIN LANE,E01027256,Northampton 020B,Investigation complete; no suspect identified
ad09b48575988b28594d08956acc07eaf1941eb1399b67743910bf434ed30d61,2013-12,Northamptonshire Police,Northamptonshire Police,-0.961858,52.247087,On or near ROUNDWOOD WAY,E01032975,Northampton 029E,Investigation complete; no suspect identified
64bde8dd3c1215df09a1ae2873ef6864daba6bbe684e05dfe5825c0a3e0e6a47,2013-12,Northamptonshire Police,Northamptonshire Police,-0.590552,52.291483,On or near CROMWELL ROAD,E01027059,East Northamptonshire 009B,Investigation complete; no suspect identified
d68c06fe7a33263f4597d3db95faa441dab9844742751f031d7504500622716d,2013-12,Northamptonshire Police,Northamptonshire Police,-0.849842,52.250742,On or near PARKWAY,E01027256,Northampton 020B,Investigation complete; no suspect identified
e26fcb2158becc9d675f8fd26c136bae1f2f618b379a6ee6ee51143b8f5ddacc,2013-12,Northamptonshire Police,Northamptonshire Police,-0.779899,52.279359,On or near Park/Open Space,E01027353,Wellingborough 009F,Investigation complete; no suspect identified
87b860b9eb7ceddab7546d0ae9d5aa5013cfb5f0da30f95cf9f56ba1f7dcda9e,2013-12,Northamptonshire Police,Northamptonshire Police,-0.821395,52.281641,On or near Park/Open Space,E01027018,Daventry 005B,Investigation complete; no suspect identified
284b88b7f2f312660cbe88574f11d1246ad752d4ccafa33af5fc432d1d296493,2013-12,Northamptonshire Police,Northamptonshire Police,-0.700035,52.286572,On or near KENT ROAD,E01027320,Wellingborough 008D,Investigation complete; no suspect identified
ef35e386181610f96323109bb4b994c42c340aa338ee679c0254a7fb1d2e185c,2013-12,Northamptonshire Police,Northamptonshire Police,-0.860142,52.267223,On or near EDEN CLOSE,E01027171,Northampton 006A,Investigation complete; no suspect identified
380d530528867fd98e721a41b0a0a5964aaa0b92320d2566edd32b43036c565f,2013-12,Northamptonshire Police,Northamptonshire Police,-0.831270,52.260656,On or near WAYPOST COURT,E01027198,Northampton 007C,Investigation complete; no suspect identified
f2a1d8bbaa0e2dcd4d6e4601f3577680656c72f65d2d8ff9f6a322a223d110af,2013-12,Northamptonshire Police,Northamptonshire Police,-0.831270,52.260656,On or near WAYPOST COURT,E01027198,Northampton 007C,Investigation complete; no suspect identified
07d7e5b9d37d19b4923eeb5a7d784370e9ae4bbfddadecff7645698b815a28d6,2013-12,Northamptonshire Police,Northamptonshire Police,-0.867626,52.250725,On or near WOODLAND AVENUE,E01027169,Northampton 012B,Investigation complete; no suspect identified
de566273f2050cf99655bd5df635f0c19366e431a56f0773c4ba186d74daaa29,2013-12,Northamptonshire Police,Northamptonshire Police,-0.688657,52.302009,On or near VICTORIA ROAD,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
969c7f4ffe5a6dc47d60e93be6d42e790bc19a5c3adb0237b40af790c5fe6578,2013-12,Northamptonshire Police,Northamptonshire Police,-0.610173,52.327005,On or near STATION ROAD,E01027038,East Northamptonshire 006A,Investigation complete; no suspect identified
237a48ccac540e9b83fe48b7e2147f54380433a1b544ace291b6d0f9048ca11f,2013-12,Northamptonshire Police,Northamptonshire Police,-0.899131,52.239668,On or near Parking Area,E01032979,Northampton 021F,Investigation complete; no suspect identified
