Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8447b27b296c4a449e10a69f18975a821886363d3b33c9bfea6292b04e872686,2013-12,Lincolnshire Police,Lincolnshire Police,-0.582104,53.208013,On or near CROXTON DRIVE,E01026162,Lincoln 009E,Investigation complete; no suspect identified
8085a06f1f8f32287bfd54c7cba58fb4a4747d43fedaac76198c10125154bacc,2013-12,Lincolnshire Police,Lincolnshire Police,-0.158020,52.783320,On or near SOUTH PARADE,E01026266,South Holland 006B,Investigation complete; no suspect identified
9b7824a51aa4fcab3dfc9989d050377ce38ebeafea675df63bbd829df42ed235,2013-12,Lincolnshire Police,Lincolnshire Police,0.331574,53.148294,On or near LANSDOWNE ROAD,E01026084,East Lindsey 012A,Investigation complete; no suspect identified
9deabf2e893d61961d38dd0503dbde712c2870c2a6de189dd75db059fb843ac1,2013-12,Lincolnshire Police,Lincolnshire Police,-0.544467,53.229431,On or near LUCY TOWER STREET,E01026143,Lincoln 005B,Investigation complete; no suspect identified
8633d9ea0b2de1ae1e0ce81dace7846c54802c0c73a933744e857fe9be78c759,2013-12,Lincolnshire Police,Lincolnshire Police,-0.166991,52.785455,On or near SUNFLOWER CLOSE,E01026264,South Holland 009C,Investigation complete; no suspect identified
74b0bf22a442acb21e2265952c2ddba062821785acbf4bb79355026b0ca3dbd8,2013-12,Lincolnshire Police,Lincolnshire Police,0.326800,53.151283,On or near LINDUM SQUARE,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
7bded467faa870f2e25dcd7730809e69778a2a9c7c5bb640311ddb9ef7ee77d8,2013-12,Lincolnshire Police,Lincolnshire Police,-0.137137,52.809130,On or near Shopping Area,E01026258,South Holland 005B,Investigation complete; no suspect identified
c832621b002e35484ed15b520329f806c6d8a969f48110059db4f4edca403184,2013-12,Lincolnshire Police,Lincolnshire Police,-0.403482,53.003830,On or near Sports/Recreation Area,E01026232,North Kesteven 010D,Investigation complete; no suspect identified
9a860b5fbaa9edb5a49b29b2090b45d72a4d8d0b1aea6205a68d43a62f266fa5,2013-12,Lincolnshire Police,Lincolnshire Police,-0.703134,53.155976,On or near HIGH STREET,E01026193,North Kesteven 003C,Investigation complete; no suspect identified
a40067ceed13f78951d78119eee1ca93b01d9d5eb196cc2a8389fa09c986f3b3,2013-12,Lincolnshire Police,Lincolnshire Police,-0.154591,52.795683,On or near THE MEADOWS,E01026273,South Holland 006C,Investigation complete; no suspect identified
cbf51d9ae63539091cd10ec8e0709684631fba08854369a791f36989cb89bd23,2013-12,Lincolnshire Police,Lincolnshire Police,-0.390324,53.050249,On or near CORNWALL WAY,E01026224,North Kesteven 007D,Investigation complete; no suspect identified
7e9cdcfeae5bde5b9096b8b387bc6e7291870631b00091bfa4d5b69632402975,2013-12,Lincolnshire Police,Lincolnshire Police,-0.478321,53.306393,On or near TINKERMERE CLOSE,E01026413,West Lindsey 008C,Investigation complete; no suspect identified
8d5acf9b807aa210ac23068ed55ad4a48217a0029b88f9bb4921898c66cba64c,2013-12,Lincolnshire Police,Lincolnshire Police,-0.314318,53.577697,On or near A18,E01032683,West Lindsey 001G,Investigation complete; no suspect identified
f4ea216d7ad1172ec8f17841568c9aadeb9168438734e9a3eab08d249a006f9e,2013-12,Lincolnshire Police,Lincolnshire Police,-0.314688,52.677879,On or near CHERRY GROVE,E01026337,South Kesteven 013D,Investigation complete; no suspect identified
2bcaa462b84f86df913405faaf0d654a27827c2fe5a5d7197bdeada24fcc23b1,2013-12,Lincolnshire Police,Lincolnshire Police,0.127644,52.791326,On or near BACK LANE,E01026256,South Holland 008C,Investigation complete; no suspect identified
fc0bff50cf11ffa0e8c2d63a5f68cd953975f6ceaa1e3a54ad17261f54bb1958,2013-12,Lincolnshire Police,Lincolnshire Police,-0.709003,53.447852,On or near IRWIN ROAD,E01026407,West Lindsey 002E,Investigation complete; no suspect identified
40e1b8cf6a403864dad2ad9189cc66ff8362617c0b2f258709487a705bb4c0ca,2013-12,Lincolnshire Police,Lincolnshire Police,-0.114766,53.010068,On or near MAIN ROAD,E01026033,Boston 006B,Investigation complete; no suspect identified
b9ec8c0301c54d8a10ab9f36830903ccd7522061dc70e6a43d12b541648ede1e,2013-12,Lincolnshire Police,Lincolnshire Police,-0.578556,53.216574,On or near HARTSHOLME DRIVE,E01026136,Lincoln 008C,Investigation complete; no suspect identified
7a666a86177735797a9e3ad5de10a39cdea6252ae242a525a680ebd919a26340,2013-12,Lincolnshire Police,Lincolnshire Police,-0.311167,53.380619,On or near Race Track,E01026391,West Lindsey 003C,Investigation complete; no suspect identified
a82abab166349ee2337cbf1013520e2536973748f5c0ac5b0d95ba3f7360daba,2013-12,Lincolnshire Police,Lincolnshire Police,-0.223768,53.150924,On or near ALEXANDRA ROAD,E01026120,East Lindsey 016G,Investigation complete; no suspect identified
577b3902d34614ecd2369f414003b70ab05f8999461ee5498a89435563018963,2013-12,Lincolnshire Police,Lincolnshire Police,0.061277,52.988167,On or near MILL LANE,E01026007,Boston 001A,Investigation complete; no suspect identified
fde77c6b949684a991608732f9289031dddfb383bfd64a7a892a4f86413aa6f9,2013-12,Lincolnshire Police,Lincolnshire Police,-0.474059,53.260060,On or near LODGE LANE,E01026393,West Lindsey 010A,Investigation complete; no suspect identified
f19913a520230c68d84a274342ad282b93b757a7dc7670365a66a8fe47d9d9c9,2013-12,Lincolnshire Police,Lincolnshire Police,-0.507378,53.230582,On or near ALLENBY CLOSE,E01026123,Lincoln 004B,Investigation complete; no suspect identified
bacee2baaacf7b18251993b39646c751cbde683c9062ed8298fadbfda00a45b7,2013-12,Lincolnshire Police,Lincolnshire Police,-0.645593,52.914409,On or near UNION STREET,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
1c5adb721f5acbb80935017b71ee515005e2a4b10c5be8cf963525007348af47,2013-12,Lincolnshire Police,Lincolnshire Police,0.011154,52.799301,On or near OXFORD GARDENS,E01026249,South Holland 010B,Investigation complete; no suspect identified
a2b300d2bb639a45a58147ac9d6703eb0068ef000e3e3a521524fd603e7c529f,2013-12,Lincolnshire Police,Lincolnshire Police,-0.120256,53.211727,On or near STOURTON PLACE,E01026066,East Lindsey 011C,Investigation complete; no suspect identified
970fcd0d58ecf8bec6967cb38d3187e6220c40f13a16291b86e54809e7c52d92,2013-12,Lincolnshire Police,Lincolnshire Police,-0.315006,52.675393,On or near Parking Area,E01026335,South Kesteven 013B,Investigation complete; no suspect identified
6a9b53ff401282bee21053d09cb0a7b46d9a06b31a1398f67986c599656d90a9,2013-12,Lincolnshire Police,Lincolnshire Police,-0.628154,52.921733,On or near ELM GROVE,E01026327,South Kesteven 003C,Investigation complete; no suspect identified
f10746fdd216e45c9345ce19c2cc2bc65fffd6c5964e1433fad8722044afdf60,2013-12,Lincolnshire Police,Lincolnshire Police,-0.429025,53.503856,On or near LINDUM WALK,E01026387,West Lindsey 001C,Investigation complete; no suspect identified
0d692b02348a42683be63b65c5a5d8de98ba0f8013b793e11a98fae4599df0bd,2013-12,Lincolnshire Police,Lincolnshire Police,-0.643278,52.912342,On or near Further/Higher Educational Building,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
956b4f7459e2fa9c7c8ec9861555c64f5aea22b1ab31b205e8903d1fc2c96bbb,2013-12,Lincolnshire Police,Lincolnshire Police,0.265540,53.340785,On or near GIBRALTAR ROAD,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
cd3a24979a81eda77b138f58d092cb4f2c575599ab7c361ea859a8c9c7d7e706,2013-12,Lincolnshire Police,Lincolnshire Police,-0.306868,52.675834,On or near WADE PARK AVENUE,E01026305,South Kesteven 014C,Investigation complete; no suspect identified
d015146d2c51baf936b3ce523cffef73bfc2b6196d87df9b7217ede79134359a,2013-12,Lincolnshire Police,Lincolnshire Police,-0.147711,53.251912,On or near CHURCH LANE,E01026105,East Lindsey 009D,Investigation complete; no suspect identified
c5f1fe6ccb43dbea02f92c9ae8546f8801b0dc3b520fa4c599c243d199b38833,2013-12,Lincolnshire Police,Lincolnshire Police,0.100766,52.816207,On or near ROMAN BANK,E01026246,South Holland 002A,Investigation complete; no suspect identified
183a33c156d1de9dc8555e72874b98485e1ce1af01c3a88484553ecd098b2685,2013-12,Lincolnshire Police,Lincolnshire Police,-0.510461,53.242343,On or near OUTER CIRCLE ROAD,E01026153,Lincoln 002A,Investigation complete; no suspect identified
8789b106a0d838eefaf780582f51015f8c0f37fc20db1cd9e0795c1764ec392b,2013-12,Lincolnshire Police,Lincolnshire Police,-0.630705,52.768113,On or near GREAT CLOSE,E01026339,South Kesteven 009D,Investigation complete; no suspect identified
9efc34b6387d4217016c6195a51d548c07112be772da7d915f7f5961064beaa5,2013-12,Lincolnshire Police,Lincolnshire Police,-0.760406,53.394668,On or near STURGATE WALK,E01026376,West Lindsey 006C,Investigation complete; no suspect identified
003fa28dae7d2de3947dbe3f36f150d1705097cfc3a2e9d1073facef231bf533,2013-12,Lincolnshire Police,Lincolnshire Police,-0.006984,53.367252,On or near CHEQUERGATE,E01032986,East Lindsey 004D,Investigation complete; no suspect identified
c193584ad0c67176db6f7713353bdb9c365f4b08de24b0ea1ebe458d8acaea62,2013-12,Lincolnshire Police,Lincolnshire Police,0.020633,53.377828,On or near CHURCH LANE,E01026070,East Lindsey 009C,Investigation complete; no suspect identified
2626abbf4e4af58247d86b8751dc46c3f1658d69afab07ebbbe3c03ee1d05729,2013-12,Lincolnshire Police,Lincolnshire Police,-0.171419,52.667025,On or near HARVESTER WAY,E01026240,South Holland 011B,Investigation complete; no suspect identified
b56a9df0c44eeeb0306150a6fb478c362acf024c3d60ecf35b58dadca7b9977b,2013-12,Lincolnshire Police,Lincolnshire Police,-0.666827,52.902423,On or near HAWTHORNE COURT,E01026308,South Kesteven 005A,Investigation complete; no suspect identified
133c6af91f44ff4ee32ee4093db0d3a9b4ea2bf625dc27e935f729ac45641625,2013-12,Lincolnshire Police,Lincolnshire Police,0.326387,53.148063,On or near CHARLES CLOSE,E01026094,East Lindsey 015B,Investigation complete; no suspect identified
15961e9940b63452bee662688fdb950fe82c16d12794cfa50c34aaeeca60b100,2013-12,Lincolnshire Police,Lincolnshire Police,-0.573435,53.207514,On or near WALFORD DRIVE,E01026173,Lincoln 010D,Investigation complete; no suspect identified
4425824ee18b5a29ce9b509e292bcc4685714ce5f4a7351629f9b3cc5429f608,2013-12,Lincolnshire Police,Lincolnshire Police,-0.531999,53.251429,On or near Supermarket,E01026168,Lincoln 001D,Investigation complete; no suspect identified
e163c95b9df321a35fa4f8a6581683f80604c94edcc841a4f8e5ddf74c4fa682,2013-12,Lincolnshire Police,Lincolnshire Police,-0.552150,53.208201,On or near WILLOW TREE CLOSE,E01026175,Lincoln 010E,Investigation complete; no suspect identified
1b8477fc3d972bb4d440b509332f07582c890704d92d8bde2ba8e37b9f8f6ed6,2013-12,Lincolnshire Police,Lincolnshire Police,-0.647300,52.919283,On or near NORTH PARADE,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
e93e9096b932f7be3d4dfbad88d9bd66df612354bc041f34dc4f21e92832733a,2013-12,Lincolnshire Police,Lincolnshire Police,-0.413308,52.990288,On or near BRIDLE CLOSE,E01026231,North Kesteven 010C,Investigation complete; no suspect identified
