Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
db25dc3794492c2a529072755ef3f8a4aa5a6b44737e1913256245a780ccfdc6,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.305389,52.623073,On or near WHERRY ROAD,E01033441,Norwich 014D,Investigation complete; no suspect identified
1a57b361df40d2b0b6733ff2dca3d1a400c5f583a1411c6c78833967e0185644,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.733022,52.619844,On or near SALISBURY ROAD,E01026639,Great Yarmouth 004B,Investigation complete; no suspect identified
dc2d1ca19ec66b36258ebdab5138fb7065a6fc99eb330709727c9272dd3df910,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.688555,52.648669,On or near A1065,E01026455,Breckland 007A,Investigation complete; no suspect identified
873c0113a269d75d347aa28086e800f762cb2af7efd62c46dcde8776046e7987,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.305263,52.625909,On or near Parking Area,E01033439,Norwich 014B,Investigation complete; no suspect identified
852b9d9d9c9480411befe95aecd737c7e2f162bbba8f171ad38a638095b554c4,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.729944,52.607816,On or near Supermarket,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
45d3cf0233f0078a7a2360729190a35f436f9fd1b8089b0007fa3bdf7a40d963,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.232684,52.712232,On or near CRANNY FIELD CHASE,E01026719,King's Lynn and West Norfolk 013C,Investigation complete; no suspect identified
0680739faa6dcbbfea0850f704c71a1792b1001b0c13e45b8411281fd5953e47,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.263146,52.629533,On or near EARLHAM ROAD,E01026863,Norwich 006A,Investigation complete; no suspect identified
b0abdf8eb59a9ad5ee809e4bd9add7f8bf41ebd1a6941c768421ab3585e52e90,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.295167,52.636309,On or near Supermarket,E01026826,Norwich 007E,Investigation complete; no suspect identified
2e65c88e559ec28415362ab31619e1f2fdd48656d10ef3e18d13031bc5b77806,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.955222,52.678655,On or near CHERRY ORCHARD,E01026426,Breckland 005B,Investigation complete; no suspect identified
d263d1c44c5d57c0b43b8da4103105d1b72fbffb4029d726b7fc0933a6f11649,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.676767,52.513700,On or near Parking Area,E01026493,Breckland 012D,Investigation complete; no suspect identified
