Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f820ecc6c997a9b9c00e408f2e23f37f51e4547e31b4283331bf5666aec0139f,2013-12,Warwickshire Police,Warwickshire Police,-1.537242,52.293753,On or near Petrol Station,E01033253,Warwick 007H,Investigation complete; no suspect identified
754812d5f243184b6911d226995f2f9092e331d9095841163e9d7113e35c2c29,2013-12,Warwickshire Police,Warwickshire Police,-1.543482,52.280067,On or near Shopping Area,E01031265,Warwick 013E,Investigation complete; no suspect identified
957688f71d404e2fa650d1ea7739293c9d2019c65d49d8db4fef6fbe8ed28b57,2013-12,Warwickshire Police,Warwickshire Police,-1.612930,52.190995,On or near Airport/Airfield,E01031250,Stratford-on-Avon 008D,Investigation complete; no suspect identified
78562f3a29b9606e3fc3636b1abb9aafa41a59ecfe62a6112ab0f26345976dc8,2013-12,Warwickshire Police,Warwickshire Police,-1.857587,52.164653,On or near CHAPEL LANE,E01031192,Stratford-on-Avon 012D,Investigation complete; no suspect identified
58bfbe6463455e5b3b6d622c7a50f18184e7bec8948dd7d710d16257195d44af,2013-12,Warwickshire Police,Warwickshire Police,-1.612930,52.190995,On or near Airport/Airfield,E01031250,Stratford-on-Avon 008D,Investigation complete; no suspect identified
c2e2baf346b11528fd5710dcc6bdf2222d139bca7963e6e360bc19d0c6f68571,2013-12,Warwickshire Police,Warwickshire Police,-1.628635,52.212749,On or near FARTHER SAND CLOSE,E01031218,Stratford-on-Avon 008B,Investigation complete; no suspect identified
8ec6db11be5ef53987ce3b0f91f2be01d2979e81fb8f463a898fe5411e023927,2013-12,Warwickshire Police,Warwickshire Police,-1.528305,52.283424,On or near BAXTER COURT,E01031336,Warwick 010F,Investigation complete; no suspect identified
5f2805beef220519747c880d85cb1ec2bbc69ffb6b8c71b65b2f6e05a89f2da5,2013-12,Warwickshire Police,Warwickshire Police,-1.439767,52.305351,On or near FOSSE WAY,E01031301,Warwick 005E,Investigation complete; no suspect identified
58aa74ff5aa184d6e6362c7f99642721183945f91fd0a2bb5ecfee2d709d4a91,2013-12,Warwickshire Police,Warwickshire Police,-1.715239,52.193678,On or near STATION ROAD,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
416cda8571b5b518595c778cc57db81cba3f5a24f6cc39d3304caf2438af3035,2013-12,Warwickshire Police,Warwickshire Police,-1.542905,52.266417,On or near JOURDAIN PARK,E01031318,Warwick 012D,Investigation complete; no suspect identified
22c548bffb75dbfa88b98a80658718055aa7055e8df88a58cfc65dc6450f4052,2013-12,Warwickshire Police,Warwickshire Police,-1.706676,52.192101,On or near HIGH STREET,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
ba72df458ad36544e7092e60d05d237c6c839d28f99c71084d2aada16130c4a3,2013-12,Warwickshire Police,Warwickshire Police,-1.397742,52.248460,On or near A425,E01031222,Stratford-on-Avon 004D,Investigation complete; no suspect identified
