Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8e5faea7d11c1d94a2c2249b83f50eaa783800e86452713b5622b6962807726e,2012-07,Kent Police,Kent Police,0.527438,51.382067,On or near SOLOMONS ROAD,E01016110,Medway 015D,Investigation complete; no suspect identified
1a98ab49fbda9a85c553f471059d8fea4f719a31e31cf53bb2d35b12f395d3a9,2012-07,Kent Police,Kent Police,0.271160,51.439243,On or near Bluewater Complex,E01024172,Dartford 006D,Investigation complete; no suspect identified
944c9ef11c40b2a6019c37982f95900f8219eb0188a46fcc936297b353b5683c,2012-07,Kent Police,Kent Police,0.530061,51.381669,On or near Parking Area,E01016111,Medway 015E,Investigation complete; no suspect identified
2f38165613020b6c89be7f364a068952e9f2985e15de275ae40c4c87f399b489,2012-07,Kent Police,Kent Police,0.400375,51.423807,On or near Sports/Recreation Area,E01024312,Gravesham 008E,Investigation complete; no suspect identified
aa6c51c4ec524f87b2b54d9f43ad0c66a0feddfa2c4bab2c672312d6a2fc346d,2012-07,Kent Police,Kent Police,0.886112,51.320225,On or near Sports/Recreation Area,E01024564,Swale 014A,Investigation complete; no suspect identified
8e85ecc98d3b13603f1da03a06e2295975b607829f033d44cc46d40b5bd9071a,2012-07,Kent Police,Kent Police,0.809540,51.419557,On or near PRINCE CHARLES AVENUE,E01024621,Swale 004E,Investigation complete; no suspect identified
f090ea99ef3eb3f535870fe2345be3bd4bbe0e2e086d3756d9556ff4c449012a,2012-07,Kent Police,Kent Police,0.486763,51.397408,On or near CENTRAL ROAD,E01016139,Medway 005D,Investigation complete; no suspect identified
44619558259dc8eb55fc70080f6a95962eab2b5c0e09604307acd66572ae58b2,2012-07,Kent Police,Kent Police,0.355299,51.420279,On or near Petrol Station,E01024286,Gravesham 009B,Investigation complete; no suspect identified
e80fa7136774ac69081717f52b29683dcd16fce6b6857e014ebd89ee3113187b,2012-07,Kent Police,Kent Police,0.538752,51.345758,On or near LAMBETH CLOSE,E01016059,Medway 031B,Investigation complete; no suspect identified
a6196ac0ea1451093b844e0e80665d72fa83cfa3768d784f63f447540ac13add,2012-07,Kent Police,Kent Police,0.564167,51.418709,On or near WHITEHOUSE CLOSE,E01016074,Medway 001D,Investigation complete; no suspect identified
f994aeec921364b77f94a075f8f6ae370b2ac21619eba21e11be01dd630af473,2012-07,Kent Police,Kent Police,0.597568,51.365963,On or near SALISBURY AVENUE,E01016093,Medway 023A,Investigation complete; no suspect identified
9d24e7bdad6b71a24d6e08140d6ff81275f820a9e05e2c840f5f17ef6f7859d1,2012-07,Kent Police,Kent Police,0.504200,51.374463,On or near STEERFORTH CLOSE,E01016115,Medway 017C,Investigation complete; no suspect identified
940941cfb76ccb8f72606d53a60a81ad2e4cb4edba6fd7f3236ddb1b49a28220,2012-07,Kent Police,Kent Police,0.490895,51.401475,On or near STEELE STREET,E01016137,Medway 006C,Investigation complete; no suspect identified
564e620cbece140c58fd8091571ac647f330927120caee91a32469086c3a909b,2012-07,Kent Police,Kent Police,0.528526,51.417442,On or near Park/Open Space,E01016143,Medway 003E,Investigation complete; no suspect identified
7d9b13a9e2cfa3e286d2d22c22097edfd718634e5968c72cf86d444caf8e90ef,2012-07,Kent Police,Kent Police,0.203885,51.428099,On or near ALBERT ROAD,E01024189,Dartford 011D,Investigation complete; no suspect identified
d8f4913aea8596eefc66e54339ff83450e101dd0aed7ecef093b9d2f1617c776,2012-07,Kent Police,Kent Police,0.469771,51.428903,On or near SANDHILL LANE,E01024267,Gravesham 010C,Investigation complete; no suspect identified
22201e77c4bf1dc45a2460244601244df69894fb9526572ba1721c357f202cc1,2012-07,Kent Police,Kent Police,0.369374,51.432955,On or near SINGLEWELL ROAD,E01024317,Gravesham 005E,Investigation complete; no suspect identified
532bf1cdc664d64515a428df3f2ea841c310e4fe4ddce7b000ec938a9d9b46ac,2012-07,Kent Police,Kent Police,0.893888,51.316750,On or near Supermarket,E01024553,Swale 015C,Investigation complete; no suspect identified
09f598054be3261e27c92494bd496fd1d4effd16c9a7eed079fd6300c2a5fdf1,2012-07,Kent Police,Kent Police,0.742620,51.339001,On or near Parking Area,E01024608,Swale 010E,Investigation complete; no suspect identified
a5d4eed328db85adc4d3e60d7efba954479459503f6e5118cd144eebab70d733,2012-07,Kent Police,Kent Police,0.518719,51.345516,On or near YARROW ROAD,E01016168,Medway 037A,Investigation complete; no suspect identified
aed8acd00ebf050672e9ad7b1230e8a591deefb3945b56e1c93f755c678dc9e3,2012-07,Kent Police,Kent Police,0.547589,51.386487,On or near Supermarket,E01016049,Medway 012D,Investigation complete; no suspect identified
a5d6db8d477b45319f9bea4aa87620d6279047d2507fa1298940d0417c21ba37,2012-07,Kent Police,Kent Police,0.530931,51.379464,On or near Theatre/Concert Hall,E01016111,Medway 015E,Investigation complete; no suspect identified
3b38e4c829b23cac9510e5eeb03824a7116500a7abcda2cc5ee96e46aeb5c042,2012-07,Kent Police,Kent Police,0.538180,51.409445,On or near MAIN STREET,E01016112,Medway 007D,Investigation complete; no suspect identified
5bb7082a30e51d2aafdd58bbeba9d416a7fa57163783ff147b91738a58e7f46d,2012-07,Kent Police,Kent Police,0.499721,51.460473,On or near QUICKRELLS AVENUE,E01016149,Medway 002D,Investigation complete; no suspect identified
