Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2e7d77eec473900e9983795c9416fec269357dedc0c985fb98eae394d8ee4d44,2012-05,Northamptonshire Police,Northamptonshire Police,-0.927226,52.253376,On or near BROOKSIDE MEADOWS,E01027240,Northampton 018D,Investigation complete; no suspect identified
115e581ab03335b32e0f13ee6ff9afe3a8fdadbe9ccf1b6b1997674f048ecdd1,2012-05,Northamptonshire Police,Northamptonshire Police,-0.982661,52.225178,On or near TWIGDEN ROAD,E01027285,South Northamptonshire 001C,Investigation complete; no suspect identified
77105b6a6fe4b1ff4eea1a390594d804537d07f2b19f912b70205e16fcfae377,2012-05,Northamptonshire Police,Northamptonshire Police,-0.626040,52.286597,On or near B569,E01027336,Wellingborough 010B,Investigation complete; no suspect identified
8537de76735e350b8eb75c0091589e83893d3d546e70dccc069d89df590e58c3,2012-05,Northamptonshire Police,Northamptonshire Police,-0.903666,52.232724,On or near TOWCESTER ROAD,E01032979,Northampton 021F,Investigation complete; no suspect identified
02fbd6e6709b9bf9db9e5a0aaae6e15c4c1cc7a280d76f556a412ddfbb4427f4,2012-05,Northamptonshire Police,Northamptonshire Police,-0.710143,52.483965,On or near DANIELL WALK,E01026960,Corby 006B,Investigation complete; no suspect identified
67a58288f58afa591727d277fec107a9ef294639a039b27987403b7aaa5b3d03,2012-05,Northamptonshire Police,Northamptonshire Police,-0.718308,52.474631,On or near HUDSON CLOSE,E01026968,Corby 006G,Investigation complete; no suspect identified
1e57e6c19d41b54660d299bc74cdd06d95067c092688199da165d1a1ef56f847,2012-05,Northamptonshire Police,Northamptonshire Police,-1.167718,52.264774,On or near KINGSTON CLOSE,E01026987,Daventry 006A,Investigation complete; no suspect identified
c24adb1e3c758f77be9fc399aed85a2e7399a91d76a1d448225d95fad5b83795,2012-05,Northamptonshire Police,Northamptonshire Police,-0.592119,52.281837,On or near DAISY CROFT,E01027068,East Northamptonshire 010C,Investigation complete; no suspect identified
73729c1b3e4c7e701b6c27730f2fb1f4df2c07497e52b6df7e58a6357b8ba7c1,2012-05,Northamptonshire Police,Northamptonshire Police,-0.608937,52.292034,On or near SARTORIS ROAD,E01027073,East Northamptonshire 008F,Investigation complete; no suspect identified
5c69c54920245b821b6b14aafa0d3266c6005f17129bc9d6cb297cd42b7b4945,2012-05,Northamptonshire Police,Northamptonshire Police,-0.694579,52.372400,On or near FARMFIELD CLOSE,E01027084,Kettering 010A,Investigation complete; no suspect identified
3e95c9746720e66303a3b077475a177eeacd9091d2fdd49669252e2431ac34db,2012-05,Northamptonshire Police,Northamptonshire Police,-0.901348,52.264332,On or near Petrol Station,E01027147,Northampton 003D,Investigation complete; no suspect identified
054066e61f85d5c9de414c6b03f481ef734e49c4690aa2dc7b75c41139647e82,2012-05,Northamptonshire Police,Northamptonshire Police,-0.885825,52.252274,On or near HOMESTEAD WAY,E01027187,Northampton 015C,Investigation complete; no suspect identified
63fce018faf4ba237e4b16e34e0acf1053aa1d93fb652a9450dddbf9a0aecedd,2012-05,Northamptonshire Police,Northamptonshire Police,-0.836607,52.264431,On or near RILLWOOD COURT,E01027198,Northampton 007C,Investigation complete; no suspect identified
f4a7c2534b759d56da1bbca7d1fa35dda3f94fbe8b1a1b664a8363cb0d27471a,2012-05,Northamptonshire Police,Northamptonshire Police,-0.927271,52.254554,On or near BOURNE CRESCENT,E01027240,Northampton 018D,Investigation complete; no suspect identified
ba057673df5529c76675dd26c9632dc7c960e180960bfe6a0655a0b3087839f9,2012-05,Northamptonshire Police,Northamptonshire Police,-0.644767,52.341667,On or near POPLAR ROAD,E01027328,Wellingborough 001C,Investigation complete; no suspect identified
6d3be47e9c45fef93dbe252f5f7f9baa212d693eec9ed0125d0cf60b0864be35,2012-05,Northamptonshire Police,Northamptonshire Police,-0.676644,52.218367,On or near COBBLER'S PLACE,E01027348,Wellingborough 010D,Investigation complete; no suspect identified
36662aedcdea1f0053b04535b2cacdea638362d0083bd25ef7d12fdfefa1c47f,2012-05,Northamptonshire Police,Northamptonshire Police,-0.710578,52.473127,On or near KELD CLOSE,E01026963,Corby 009A,Investigation complete; no suspect identified
