Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2808653db6820171a339167aa61f104f9bbe852df165e34042623ec6c3847629,2013-05,Dorset Police,Dorset Police,-2.218108,50.679241,On or near SPRING STREET,E01020491,Purbeck 004C,Investigation complete; no suspect identified
5ff221be67312fd6cb70611c78217153c0f61da3e1348b269a7ea0646f962e7d,2013-05,Dorset Police,Dorset Police,-2.473082,50.809832,On or near SIMSAY FIELDS,E01020509,West Dorset 004A,Investigation complete; no suspect identified
525bdad3332574edafe7cbb940047b5038a71c7a6df5713e8f830c5b7602f671,2013-05,Dorset Police,Dorset Police,-2.454849,50.612955,On or near GLOUCESTER STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
7fb79006ce45ff69ab336335df29984df9fd8076579e1b348e3007145931cef3,2013-05,Dorset Police,Dorset Police,-2.442703,50.543108,On or near ST GEORGES ESTATE ROAD,E01020565,Weymouth and Portland 009C,Investigation complete; no suspect identified
ffa3edffaa061b7238491fe27ad20a630fe2cf3bcb81aa0252e6258b3cd15697,2013-05,Dorset Police,Dorset Police,-2.471940,50.616124,On or near Sports/Recreation Area,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
29cb9421ccd0c2708c3b27590fbd613d98f5929d198b21cd0bb369d421645ff6,2013-05,Dorset Police,Dorset Police,-1.891163,50.802460,On or near Supermarket,E01020392,East Dorset 008C,Investigation complete; no suspect identified
0f526eca177a2e1100cc8f4b33195a8095f6e44caeff0e6f54d454b853461384,2013-05,Dorset Police,Dorset Police,-1.882511,50.795059,On or near EVENING GLADE,E01020401,East Dorset 011D,Investigation complete; no suspect identified
483c4afe371ce2497240bebdd80c7b755a2de28c4a49417cf54d9c35e6b22242,2013-05,Dorset Police,Dorset Police,-2.471269,50.585767,On or near SMALLMOUTH CLOSE,E01020587,Weymouth and Portland 007B,Investigation complete; no suspect identified
af4b5be3bffc15331cf338403196536b8e600cc17b3d59112049470d6d6ee563,2013-05,Dorset Police,Dorset Police,-1.988497,50.798283,On or near GRAMMAR SCHOOL LANE,E01020428,East Dorset 010C,Investigation complete; no suspect identified
9bc24467eabf0f0574c4e9ef90d1b6e0e55f96674eefa10a7a9e3e6119f5a67a,2013-05,Dorset Police,Dorset Police,-2.131764,50.635864,On or near GRANGE HILL,E01020467,Purbeck 005B,Investigation complete; no suspect identified
e8f5883dac9cdd5a5e3854984a32cf81315ef7c85a0ff030c7cf89b953a455fd,2013-05,Dorset Police,Dorset Police,-2.044290,50.753429,On or near MAYLYN ROAD,E01020472,Purbeck 002B,Investigation complete; no suspect identified
29515c4d027de280214f9dfddb1d555c9a57f133d53edc44e242f637303d2dfb,2013-05,Dorset Police,Dorset Police,-2.093907,50.711845,On or near Parking Area,E01020477,Purbeck 003B,Investigation complete; no suspect identified
14b0929dccda477f39ad4e50959483f473a765e1d32833560b303f976ad8c0f0,2013-05,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
f04f9c0dabee4e13b4b0b05347cebfe3cb9019dc151db581ec87a5d259251be5,2013-05,Dorset Police,Dorset Police,-2.453879,50.616430,On or near DERBY STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
cc006bf3aa3606aed482ed11a5ecb7984a829dae66dff0f4a797813a745432e9,2013-05,Dorset Police,Dorset Police,-2.456698,50.625753,On or near FERNDALE ROAD,E01020561,Weymouth and Portland 002E,Investigation complete; no suspect identified
4351ae364eb76ad1f3de08077ed7e71f34f1cb33bf3838fd877792388eeb06c9,2013-05,Dorset Police,Dorset Police,-2.469318,50.592663,On or near DONCASTER ROAD,E01020585,Weymouth and Portland 006C,Investigation complete; no suspect identified
cdf99be462ec93ac148fdb3afe2a5448148f3719541d482d0bbc25d9a9af52fc,2013-05,Dorset Police,Dorset Police,-2.481098,50.596554,On or near CASTLE HILL ROAD,E01020589,Weymouth and Portland 007D,Investigation complete; no suspect identified
6be25287264f774e7cf24ad6a7eb2cf241e9f94cb8cc5e76382f5895d906933e,2013-05,Dorset Police,Dorset Police,-1.973826,50.796734,On or near DAY'S COURT,E01020427,East Dorset 010B,Investigation complete; no suspect identified
4c12e06d14d1c518d135e1d1bca098cbf379d17e2a94f4a2553eb082c0102865,2013-05,Dorset Police,Dorset Police,-2.282600,50.779452,On or near HOPSFIELD,E01020430,North Dorset 008A,Investigation complete; no suspect identified
147463a32e4993e8da2128be27f824ec513d760140fb6fd07e5a5d3058675146,2013-05,Dorset Police,Dorset Police,-1.888752,50.825694,On or near KNIGHTSTONE GROVE,E01020423,East Dorset 006C,Investigation complete; no suspect identified
4f948c0d5bab2de171a0fd06239baaf9d643241bbbc8e3bd2e3434146229834c,2013-05,Dorset Police,Dorset Police,-2.204362,50.944816,On or near THE STREET,E01020460,North Dorset 005D,Investigation complete; no suspect identified
